x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB
3.90625000e-03,3.63281250e-01,2.34813907e-01,-5.12420722e-01,6.24850769e-02,0.00000000e+00,2.02757579e-01,-2.17028290e-01,-1.58561609e-01,0.00000000e+00,1.65972244e-03,-2.52881125e-02
3.90625000e-03,3.71093750e-01,2.26218922e-01,-4.95959891e-01,4.69173873e-02,0.00000000e+00,1.93177660e-01,-2.33981577e-01,-1.72409096e-01,0.00000000e+00,1.12025971e-03,-2.76834492e-02
3.90625000e-03,3.78906250e-01,2.16830116e-01,-4.80817861e-01,3.23927292e-02,0.00000000e+00,1.83010065e-01,-2.49871423e-01,-1.84673222e-01,0.00000000e+00,4.75400945e-04,-2.32083485e-02
3.90625000e-03,3.86718750e-01,2.07551142e-01,-4.65779510e-01,1.99791119e-02,0.00000000e+00,1.72796541e-01,-2.64056053e-01,-1.94903635e-01,0.00000000e+00,-1.29874535e-04,-1.86442391e-02
3.90625000e-03,3.94531250e-01,1.99079898e-01,-4.50284268e-01,9.92336175e-03,0.00000000e+00,1.63083943e-01,-2.75992234e-01,-2.02974056e-01,0.00000000e+00,-6.19949499e-04,-1.80581770e-02
3.90625000e-03,4.02343750e-01,1.91821699e-01,-4.33774177e-01,2.42370953e-03,0.00000000e+00,1.54255758e-01,-2.85402041e-01,-2.08886147e-01,0.00000000e+00,-1.02674692e-03,-1.65919300e-02
3.90625000e-03,4.10156250e-01,1.85989714e-01,-4.15800857e-01,-2.45862438e-03,0.00000000e+00,1.46603362e-01,-2.92120217e-01,-2.12717065e-01,0.00000000e+00,-1.35853950e-03,-1.56224034e-02
3.90625000e-03,4.17968750e-01,1.81662848e-01,-3.95857102e-01,-4.74957050e-03,0.00000000e+00,1.40337512e-01,-2.96052693e-01,-2.14546857e-01,0.00000000e+00,-1.62399955e-03,-1.41223253e-02
3.90625000e-03,4.25781250e-01,1.78841023e-01,-3.73493080e-01,-4.58272920e-03,0.00000000e+00,1.35639400e-01,-2.97057065e-01,-2.14386807e-01,0.00000000e+00,-1.81339345e-03,-1.21985433e-02
3.90625000e-03,4.33593750e-01,1.77466352e-01,-3.48168693e-01,-2.17379061e-03,0.00000000e+00,1.32682870e-01,-2.94889679e-01,-2.12109852e-01,0.00000000e+00,-1.89245056e-03,-1.00022828e-02
3.90625000e-03,4.41406250e-01,1.77440621e-01,-3.19436198e-01,2.18207273e-03,0.00000000e+00,1.31695665e-01,-2.89070731e-01,-2.07401788e-01,0.00000000e+00,-1.82062223e-03,-6.84561650e-03
3.90625000e-03,4.49218750e-01,1.78654977e-01,-2.86790830e-01,8.08350098e-03,0.00000000e+00,1.32922561e-01,-2.78880721e-01,-1.99721905e-01,0.00000000e+00,-1.52572472e-03,-3.68953977e-03
3.90625000e-03,4.57031250e-01,1.81048187e-01,-2.49936699e-01,1.49429612e-02,0.00000000e+00,1.36612554e-01,-2.63269335e-01,-1.88289173e-01,0.00000000e+00,-9.40735063e-04,-4.20438286e-04
3.90625000e-03,4.64843750e-01,1.84884860e-01,-2.08738657e-01,2.19122008e-02,0.00000000e+00,1.42873475e-01,-2.40938584e-01,-1.72103937e-01,0.00000000e+00,5.62136088e-06,1.84342470e-03
