i,j,x,y,Bx,By,Bz,psi,divB
43,1,0.339844,0.0117188,1.00002,7.60677e-05,0,-0.000174173,0.0050518
44,1,0.347656,0.0117188,1.00001,7.67234e-05,0,-0.00017302,0.00499513
45,1,0.355469,0.0117188,1,7.70165e-05,0,-0.000171079,0.0049179
46,1,0.363281,0.0117188,0.999986,7.69154e-05,0,-0.000168329,0.00481965
47,1,0.371094,0.0117188,0.999972,7.63895e-05,0,-0.000164752,0.00470002
48,1,0.378906,0.0117188,0.999957,7.54109e-05,0,-0.000160337,0.00455876
49,1,0.386719,0.0117188,0.999942,7.3954e-05,0,-0.000155076,0.00439574
50,1,0.394531,0.0117188,0.999927,7.19975e-05,0,-0.00014897,0.00421101
51,1,0.402344,0.0117188,0.999911,6.9525e-05,0,-0.000142026,0.00400473
52,1,0.410156,0.0117188,0.999896,6.65258e-05,0,-0.00013426,0.00377727
53,1,0.417969,0.0117188,0.999881,6.29959e-05,0,-0.000125692,0.00352921
54,1,0.425781,0.0117188,0.999866,5.89392e-05,0,-0.000116354,0.00326129
55,1,0.433594,0.0117188,0.999853,5.43679e-05,0,-0.000106285,0.0029745
56,1,0.441406,0.0117188,0.99984,4.93027e-05,0,-9.55324e-05,0.00267004
57,1,0.449219,0.0117188,0.999828,4.37739e-05,0,-8.4153e-05,0.00234934
58,1,0.457031,0.0117188,0.999818,3.78206e-05,0,-7.22108e-05,0.00201404
59,1,0.464844,0.0117188,0.999809,3.14906e-05,0,-5.97779e-05,0.00166599
60,1,0.472656,0.0117188,0.999801,2.484e-05,0,-4.69332e-05,0.00130722
61,1,0.480469,0.0117188,0.999796,1.79321e-05,0,-3.37616e-05,0.000939931
62,1,0.488281,0.0117188,0.999792,1.08359e-05,0,-2.03529e-05,0.000566461
63,1,0.496094,0.0117188,0.99979,3.62481e-06,0,-6.80034e-06,0.000189239
64,1,0.503906,0.0117188,0.99979,-3.62481e-06,0,6.80034e-06,-0.000189239
65,1,0.511719,0.0117188,0.999792,-1.08359e-05,0,2.03529e-05,-0.000566461
66,1,0.519531,0.0117188,0.999796,-1.79321e-05,0,3.37616e-05,-0.000939931
67,1,0.527344,0.0117188,0.999801,-2.484e-05,0,4.69332e-05,-0.00130722
68,1,0.535156,0.0117188,0.999809,-3.14906e-05,0,5.97779e-05,-0.00166599
69,1,0.542969,0.0117188,0.999818,-3.78206e-05,0,7.22108e-05,-0.00201404
70,1,0.550781,0.0117188,0.999828,-4.37739e-05,0,8.4153e-05,-0.00234934
71,1,0.558594,0.0117188,0.99984,-4.93027e-05,0,9.55324e-05,-0.00267004
72,1,0.566406,0.0117188,0.999853,-5.43679e-05,0,0.000106285,-0.0029745
73,1,0.574219,0.0117188,0.999866,-5.89392e-05,0,0.000116354,-0.00326129
74,1,0.582031,0.0117188,0.999881,-6.29959e-05,0,0.000125692,-0.00352921
75,1,0.589844,0.0117188,0.999896,-6.65258e-05,0,0.00013426,-0.00377727
76,1,0.597656,0.0117188,0.999911,-6.9525e-05,0,0.000142026,-0.00400473
77,1,0.605469,0.0117188,0.999927,-7.19975e-05,0,0.00014897,-0.00421101
78,1,0.613281,0.0117188,0.999942,-7.3954e-05,0,0.000155076,-0.00439574
79,1,0.621094,0.0117188,0.999957,-7.54109e-05,0,0.000160337,-0.00455876
80,1,0.628906,0.0117188,0.999972,-7.63895e-05,0,0.000164752,-0.00470002
81,1,0.636719,0.0117188,0.999986,-7.69154e-05,0,0.000168329,-0.00481965
82,1,0.644531,0.0117188,1,-7.70165e-05,0,0.000171079,-0.0049179
83,1,0.652344,0.0117188,1.00001,-7.67234e-05,0,0.00017302,-0.00499513
84,1,0.660156,0.0117188,1.00002,-7.60677e-05,0,0.000174173,-0.0050518
85,1,0.667969,0.0117188,1.00004,-7.50816e-05,0,0.000174565,-0.00508844
86,1,0.675781,0.0117188,1.00005,-7.37975e-05,0,0.000174226,-0.00510567
