i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
101,0,0.792969,0.00390625,1,1.91872e-16,0,0,-1.42054e-14,1.10979e-16,-2.84217e-14,2.22045e-16,-3.4477e-15,1
102,0,0.800781,0.00390625,1,1.20658e-16,0,0,-5.27094e-15,4.11792e-17,-2.84217e-14,2.22045e-16,-2.54514e-15,1
103,0,0.808594,0.00390625,1,7.4955e-17,0,0,-8.65723e-15,6.76346e-17,0,0,-1.81532e-15,1
104,0,0.816406,0.00390625,1,4.59984e-17,0,0,-1.08027e-14,8.43961e-17,-2.84217e-14,2.22045e-16,-1.25777e-15,1
105,0,0.824219,0.00390625,1,2.78858e-17,0,0,2.06614e-15,1.61417e-17,0,0,-8.49646e-16,1
106,0,0.832031,0.00390625,1,1.67002e-17,0,0,1.23737e-15,9.66694e-18,0,0,-5.61024e-16,1
107,0,0.839844,0.00390625,1,9.88008e-18,0,0,7.32043e-16,5.71909e-18,0,0,-3.62784e-16,1
108,0,0.847656,0.00390625,1,5.77427e-18,0,0,4.27832e-16,3.34244e-18,0,0,-2.30069e-16,1
109,0,0.855469,0.00390625,1,3.33374e-18,0,0,2.47006e-16,1.92974e-18,0,0,-1.43247e-16,1
110,0,0.863281,0.00390625,1,1.90136e-18,0,0,1.40877e-16,1.10061e-18,0,0,-8.7641e-17,1
111,0,0.871094,0.00390625,1,1.07127e-18,0,0,7.93731e-17,6.20103e-19,0,0,-5.27264e-17,1
112,0,0.878906,0.00390625,1,5.96249e-19,0,0,4.41778e-17,3.45139e-19,0,0,-3.12099e-17,1
113,0,0.886719,0.00390625,1,3.27836e-19,0,0,2.42903e-17,1.89768e-19,0,0,-1.81847e-17,1
114,0,0.894531,0.00390625,1,1.78068e-19,0,0,1.31935e-17,1.03074e-19,0,0,-1.04336e-17,1
115,0,0.902344,0.00390625,1,9.55457e-20,0,0,7.07925e-18,5.53066e-20,0,0,-5.89696e-18,1
116,0,0.910156,0.00390625,1,5.06449e-20,0,0,3.75242e-18,2.93158e-20,0,0,-3.28401e-18,1
117,0,0.917969,0.00390625,1,2.65191e-20,0,0,1.96488e-18,1.53506e-20,0,0,-1.80247e-18,1
118,0,0.925781,0.00390625,1,1.37177e-20,0,0,1.01638e-18,7.94049e-21,0,0,-9.75242e-19,1
119,0,0.933594,0.00390625,1,7.00973e-21,0,0,5.19371e-19,4.05759e-21,0,0,-5.20254e-19,1
120,0,0.941406,0.00390625,1,3.53851e-21,0,0,2.62178e-19,2.04827e-21,0,0,-2.73682e-19,1
121,0,0.949219,0.00390625,1,1.76457e-21,0,0,1.30742e-19,1.02142e-21,0,0,-1.41992e-19,1
122,0,0.957031,0.00390625,1,8.69269e-22,0,0,6.44066e-20,5.03177e-22,0,0,-7.26655e-20,1
123,0,0.964844,0.00390625,1,4.23028e-22,0,0,3.13433e-20,2.4487e-22,0,0,-3.66844e-20,1
124,0,0.972656,0.00390625,1,2.03368e-22,0,0,1.50681e-20,1.17719e-22,0,0,-1.82713e-20,1
125,0,0.980469,0.00390625,1,9.65815e-23,0,0,7.15599e-21,5.59062e-23,0,0,-8.97906e-21,1
