i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
65,0,0.511719,0.00390625,1,2.50885e-10,0,0,9.92653e-09,7.7551e-11,1.78874e-09,1.39745e-11,9.55439e-11,1
66,0,0.519531,0.00390625,1,3.51818e-10,0,0,2.33373e-08,1.82322e-10,1.21885e-08,9.52226e-11,9.01572e-11,1
67,0,0.527344,0.00390625,1,5.28542e-10,0,0,4.11361e-08,3.21375e-10,2.491e-08,1.9461e-10,8.39438e-11,1
68,0,0.535156,0.00390625,1,8.15341e-10,0,0,6.63473e-08,5.18338e-10,4.21549e-08,3.29335e-10,7.71136e-11,1
69,0,0.542969,0.00390625,1,1.26556e-09,0,0,1.03038e-07,8.04984e-10,6.67588e-08,5.21553e-10,6.98854e-11,1
70,0,0.550781,0.00390625,1,1.95957e-09,0,0,1.56815e-07,1.22512e-09,1.02545e-07,8.01136e-10,6.24755e-11,1
71,0,0.558594,0.00390625,1,3.01613e-09,0,0,2.35457e-07,1.8395e-09,1.54766e-07,1.20911e-09,5.50871e-11,1
72,0,0.566406,0.00390625,1,4.6084e-09,0,0,3.49723e-07,2.73221e-09,2.30652e-07,1.80197e-09,4.79016e-11,1
73,0,0.574219,0.00390625,1,6.98596e-09,0,0,5.14385e-07,4.01864e-09,3.40114e-07,2.65714e-09,4.10718e-11,1
74,0,0.582031,0.00390625,1,1.05049e-08,0,0,7.49526e-07,5.85567e-09,4.96607e-07,3.87974e-09,3.47183e-11,1
75,0,0.589844,0.00390625,1,1.5668e-08,0,0,1.08214e-06,8.45423e-09,7.18205e-07,5.61097e-09,2.89273e-11,1
76,0,0.597656,0.00390625,1,2.31785e-08,0,0,1.54809e-06,1.20945e-08,1.02888e-06,8.03813e-09,2.37518e-11,1
77,0,0.605469,0.00390625,1,3.40104e-08,0,0,2.19441e-06,1.71439e-08,1.46002e-06,1.14064e-08,1.92137e-11,1
78,0,0.613281,0.00390625,1,4.9499e-08,0,0,3.08202e-06,2.40782e-08,2.05215e-06,1.60324e-08,1.53079e-11,1
79,0,0.621094,0.00390625,1,7.14571e-08,0,0,4.28868e-06,3.35053e-08,2.85678e-06,2.23186e-08,1.20077e-11,1
80,0,0.628906,0.00390625,1,1.02322e-07,0,0,5.9123e-06,4.61899e-08,3.93842e-06,3.07689e-08,9.26941e-12,1
81,0,0.636719,0.00390625,1,1.45335e-07,0,0,8.07427e-06,6.30802e-08,5.37644e-06,4.20034e-08,7.03838e-12,1
82,0,0.644531,0.00390625,1,2.04767e-07,0,0,1.09226e-05,8.53329e-08,7.26668e-06,5.67709e-08,5.25348e-12,1
83,0,0.652344,0.00390625,1,2.86185e-07,0,0,1.46347e-05,1.14334e-07,9.72251e-06,7.5957e-08,3.85159e-12,1
84,0,0.660156,0.00390625,1,3.96769e-07,0,0,1.94191e-05,1.51712e-07,1.28748e-05,1.00585e-07,2.77094e-12,1
85,0,0.667969,0.00390625,1,5.45682e-07,0,0,2.55156e-05,1.9934e-07,1.68707e-05,1.31803e-07,1.95375e-12,1
86,0,0.675781,0.00390625,1,7.44494e-07,0,0,3.31931e-05,2.59321e-07,2.18699e-05,1.70858e-07,1.34789e-12,1
87,0,0.683594,0.00390625,1,1.00765e-06,0,0,4.27446e-05,3.33942e-07,2.80382e-05,2.19048e-07,9.07891e-13,1
88,0,0.691406,0.00390625,1,1.35299e-06,0,0,5.44779e-05,4.25607e-07,3.55379e-05,2.77639e-07,5.95228e-13,1
89,0,0.699219,0.00390625,1,1.80227e-06,0,0,6.87008e-05,5.36723e-07,4.4513e-05,3.47756e-07,3.78172e-13,1
90,0,0.707031,0.00390625,1,2.38174e-06,0,0,8.57008e-05,6.69534e-07,5.50693e-05,4.30227e-07,2.31276e-13,1
91,0,0.714844,0.00390625,1.00001,3.12269e-06,0,0,0.000105717,8.25912e-07,6.72488e-05,5.25378e-07,1.34655e-13,1.00001
92,0,0.722656,0.00390625,1.00001,4.0619e-06,0,0,0.000128907,1.00708e-06,8.09968e-05,6.32782e-07,7.31602e-14,1.00001
93,0,0.730469,0.00390625,1.00001,5.24207e-06,0,0,0.000155297,1.21325e-06,9.61223e-05,7.50948e-07,3.55494e-14,1.00001
94,0,0.738281,0.00390625,1.00001,6.71209e-06,0,0,0.000184738,1.44325e-06,0.000112251,8.76951e-07,1.36936e-14,1.00001
95,0,0.746094,0.00390625,1.00002,8.52709e-06,0,0,0.00021684,1.69403e-06,0.000128774,1.00603e-06,1.87586e-15,1.00002
96,0,0.753906,0.00390625,1.00002,1.07483e-05,0,0,0.000250908,1.96018e-06,0.000144787,1.13112e-06,-3.80782e-15,1.00002
97,0,0.761719,0.00390625,1.00003,1.34426e-05,0,0,0.000285875,2.23334e-06,0.000159033,1.24241e-06,-5.93889e-15,1.00003
98,0,0.769531,0.00390625,1.00003,1.66817e-05,0,0,0.00032023,2.50171e-06,0.000169839,1.32682e-06,-6.16242e-15,1.00003
99,0,0.777344,0.00390625,1.00004,2.05406e-05,0,0,0.000351951,2.7495e-06,0.000175062,1.36761e-06,-5.48149e-15,1.00004
100,0,0.785156,0.00390625,1.00005,2.50966e-05,0,0,0.000378449,2.95648e-06,0.000172039,1.34399e-06,-4.47414e-15,1.00005
101,0,0.792969,0.00390625,1.00006,3.04263e-05,0,0,0.000396527,3.09768e-06,0.000157556,1.23083e-06,-3.4477e-15,1.00006
102,0,0.800781,0.00390625,1.00007,3.66038e-05,0,0,0.000402358,3.14319e-06,0.000127829,9.98593e-07,-2.54514e-15,1.00007
103,0,0.808594,0.00390625,1.00009,4.3697e-05,0,0,0.000391488,3.05823e-06,7.85227e-05,6.13405e-07,-1.81532e-15,1.00009
104,0,0.816406,0.00390625,1.0001,5.17648e-05,0,0,0.000358882,2.80347e-06,4.78615e-06,3.73879e-08,-1.25777e-15,1.0001
