i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
87,0,0.683594,0.00390625,0.999416,0.00177632,0,0,3.13606e-05,2.45147e-07,-3.39425e-08,2.65331e-10,9.07891e-13,0.999417
88,0,0.691406,0.00390625,0.999503,0.00173223,0,0,6.1322e-06,4.79316e-08,2.83417e-08,2.21529e-10,5.95228e-13,0.999504
89,0,0.699219,0.00390625,0.99959,0.00168829,0,0,-1.80289e-05,1.40908e-07,9.22933e-08,7.21336e-10,3.78172e-13,0.999592
90,0,0.707031,0.00390625,0.999678,0.00164461,0,0,-4.10558e-05,3.20851e-07,1.57758e-07,1.23288e-09,2.31276e-13,0.999679
91,0,0.714844,0.00390625,0.999765,0.00160131,0,0,-6.2897e-05,4.91498e-07,2.24578e-07,1.75493e-09,1.34655e-13,0.999766
92,0,0.722656,0.00390625,0.999851,0.0015585,0,0,-8.35157e-05,6.52562e-07,2.92591e-07,2.28621e-09,7.31602e-14,0.999852
93,0,0.730469,0.00390625,0.999937,0.00151628,0,0,-0.000102889,8.03867e-07,3.61635e-07,2.82545e-09,3.55494e-14,0.999938
94,0,0.738281,0.00390625,1.00002,0.00147473,0,0,-0.000121006,9.45334e-07,4.31541e-07,3.37134e-09,1.36936e-14,1.00002
95,0,0.746094,0.00390625,1.00011,0.00143394,0,0,-0.000137868,1.07698e-06,5.02142e-07,3.92257e-09,1.87586e-15,1.00011
96,0,0.753906,0.00390625,1.00019,0.001394,0,0,-0.000153488,1.1989e-06,5.73268e-07,4.4778e-09,-3.80782e-15,1.00019
97,0,0.761719,0.00390625,1.00027,0.00135498,0,0,-0.000167887,1.31127e-06,6.44746e-07,5.03571e-09,-5.93889e-15,1.00027
98,0,0.769531,0.00390625,1.00035,0.00131693,0,0,-0.000181096,1.41432e-06,7.16404e-07,5.59495e-09,-6.16242e-15,1.00035
99,0,0.777344,0.00390625,1.00043,0.00127993,0,0,-0.000193151,1.50835e-06,7.8807e-07,6.15417e-09,-5.48149e-15,1.00043
100,0,0.785156,0.00390625,1.0005,0.00124403,0,0,-0.000204097,1.59371e-06,8.5957e-07,6.71202e-09,-4.47414e-15,1.0005
101,0,0.792969,0.00390625,1.00058,0.00120928,0,0,-0.000213981,1.67076e-06,9.30733e-07,7.26717e-09,-3.4477e-15,1.00058
102,0,0.800781,0.00390625,1.00065,0.00117572,0,0,-0.000222857,1.73994e-06,1.00139e-06,7.81827e-09,-2.54514e-15,1.00065
103,0,0.808594,0.00390625,1.00072,0.00114338,0,0,-0.00023078,1.80168e-06,1.07136e-06,8.36402e-09,-1.81532e-15,1.00072
104,0,0.816406,0.00390625,1.00078,0.00111232,0,0,-0.00023781,1.85643e-06,1.14049e-06,8.90309e-09,-1.25777e-15,1.00078
105,0,0.824219,0.00390625,1.00085,0.00108255,0,0,-0.000244004,1.90467e-06,1.2086e-06,9.43419e-09,-8.49646e-16,1.00085
106,0,0.832031,0.00390625,1.00091,0.0010541,0,0,-0.000249425,1.94686e-06,1.27553e-06,9.95604e-09,-5.61024e-16,1.00091
107,0,0.839844,0.00390625,1.00097,0.001027,0,0,-0.000254132,1.98349e-06,1.34113e-06,1.04674e-08,-3.62784e-16,1.00097
108,0,0.847656,0.00390625,1.00103,0.00100126,0,0,-0.000258186,2.01501e-06,1.40522e-06,1.0967e-08,-2.30069e-16,1.00103
109,0,0.855469,0.00390625,1.00108,0.000976904,0,0,-0.000261646,2.0419e-06,1.46766e-06,1.14538e-08,-1.43247e-16,1.00108
110,0,0.863281,0.00390625,1.00113,0.000953942,0,0,-0.000264569,2.06461e-06,1.5283e-06,1.19264e-08,-8.7641e-17,1.00113
111,0,0.871094,0.00390625,1.00118,0.000932387,0,0,-0.000267012,2.08357e-06,1.587e-06,1.23838e-08,-5.27264e-17,1.00118
112,0,0.878906,0.00390625,1.00123,0.000912247,0,0,-0.000269027,2.0992e-06,1.6436e-06,1.28249e-08,-3.12099e-17,1.00123
113,0,0.886719,0.00390625,1.00127,0.00089353,0,0,-0.000270667,2.1119e-06,1.69797e-06,1.32486e-08,-1.81847e-17,1.00127
114,0,0.894531,0.00390625,1.00131,0.000876243,0,0,-0.000271978,2.12205e-06,1.74999e-06,1.36539e-08,-1.04336e-17,1.00131
115,0,0.902344,0.00390625,1.00135,0.000860388,0,0,-0.000273008,2.13e-06,1.79953e-06,1.40399e-08,-5.89696e-18,1.00135
116,0,0.910156,0.00390625,1.00138,0.000845971,0,0,-0.000273797,2.13609e-06,1.84646e-06,1.44056e-08,-3.28401e-18,1.00138
117,0,0.917969,0.00390625,1.00141,0.000832992,0,0,-0.000274386,2.14062e-06,1.89068e-06,1.47501e-08,-1.80247e-18,1.00141
118,0,0.925781,0.00390625,1.00144,0.000821455,0,0,-0.00027481,2.14387e-06,1.93208e-06,1.50726e-08,-9.75242e-19,1.00144
119,0,0.933594,0.00390625,1.00147,0.000811359,0,0,-0.000275102,2.14609e-06,1.97055e-06,1.53724e-08,-5.20254e-19,1.00147
120,0,0.941406,0.00390625,1.00149,0.000802705,0,0,-0.000275291,2.14751e-06,2.00602e-06,1.56487e-08,-2.73682e-19,1.00149
121,0,0.949219,0.00390625,1.00151,0.000795494,0,0,-0.000275403,2.14834e-06,2.03839e-06,1.59009e-08,-1.41992e-19,1.00151
122,0,0.957031,0.00390625,1.00153,0.000789726,0,0,-0.000275459,2.14874e-06,2.06758e-06,1.61283e-08,-7.26655e-20,1.00153
123,0,0.964844,0.00390625,1.00154,0.0007854,0,0,-0.000275479,2.14887e-06,2.09352e-06,1.63304e-08,-3.66844e-20,1.00154
124,0,0.972656,0.00390625,1.00155,0.000782516,0,0,-0.000275478,2.14883e-06,2.11616e-06,1.65068e-08,-1.82713e-20,1.00155
125,0,0.980469,0.00390625,1.00156,0.000781074,0,0,-0.000275467,2.14873e-06,2.13543e-06,1.6657e-08,-8.97906e-21,1.00156
126,0,0.988281,0.00390625,1.00157,0.000781074,0,0,-0.00027626,2.1549e-06,2.1513e-06,1.67807e-08,-4.35411e-21,1.00157
127,0,0.996094,0.00390625,1.00157,0.000782515,0,0,-0.000275449,2.14857e-06,5.53565e-07,4.31794e-09,-2.08356e-21,1.00157
0,1,0.00390625,0.0117188,1.00158,0.000783959,0,0,-0.000275434,2.14844e-06,2.18531e-06,1.70459e-08,1.34163e-20,1.00158
1,1,0.0117188,0.0117188,1.00157,0.000791167,0,0,-0.000276244,2.15477e-06,5.80373e-07,4.52704e-09,2.86429e-20,1.00157
2,1,0.0195312,0.0117188,1.00157,0.000799818,0,0,-0.000276251,2.15483e-06,5.78974e-07,4.51615e-09,6.04017e-20,1.00157
3,1,0.0273438,0.0117188,1.00156,0.00080991,0,0,-0.000276246,2.1548e-06,5.76647e-07,4.49802e-09,1.25814e-19,1.00156
4,1,0.0351562,0.0117188,1.00155,0.000821444,0,0,-0.000276214,2.15458e-06,5.73396e-07,4.47271e-09,2.58855e-19,1.00155
5,1,0.0429688,0.0117188,1.00154,0.000834419,0,0,-0.000276139,2.15402e-06,5.6923e-07,4.44027e-09,5.26053e-19,1.00154
6,1,0.0507812,0.0117188,1.00152,0.000848835,0,0,-0.000276,2.15297e-06,5.64159e-07,4.40079e-09,1.05596e-18,1.00152
7,1,0.0585938,0.0117188,1.0015,0.000864688,0,0,-0.000275772,2.15123e-06,5.58195e-07,4.35434e-09,2.09367e-18,1.0015
8,1,0.0664062,0.0117188,1.00148,0.000881978,0,0,-0.000275427,2.14859e-06,5.51353e-07,4.30106e-09,4.10027e-18,1.00148
9,1,0.0742188,0.0117188,1.00146,0.000900701,0,0,-0.000274933,2.14479e-06,5.43648e-07,4.24107e-09,7.93152e-18,1.00146
10,1,0.0820312,0.0117188,1.00143,0.000920851,0,0,-0.000274257,2.13957e-06,5.35101e-07,4.1745e-09,1.51544e-17,1.00143
11,1,0.0898438,0.0117188,1.0014,0.000942424,0,0,-0.000273358,2.13262e-06,5.25731e-07,4.10153e-09,2.85997e-17,1.0014
12,1,0.0976562,0.0117188,1.00137,0.000965411,0,0,-0.000272197,2.12364e-06,5.15561e-07,4.02232e-09,5.33114e-17,1.00137
13,1,0.105469,0.0117188,1.00133,0.000989803,0,0,-0.000270729,2.11226e-06,5.04616e-07,3.93707e-09,9.81553e-17,1.00133
14,1,0.113281,0.0117188,1.00129,0.00101559,0,0,-0.000268906,2.09811e-06,4.92922e-07,3.84598e-09,1.78501e-16,1.00129
15,1,0.121094,0.0117188,1.00125,0.00104275,0,0,-0.000266677,2.08081e-06,4.80507e-07,3.74927e-09,3.20627e-16,1.00125
16,1,0.128906,0.0117188,1.00121,0.00107127,0,0,-0.000263989,2.05993e-06,4.67402e-07,3.64717e-09,5.68839e-16,1.00121
17,1,0.136719,0.0117188,1.00116,0.00110113,0,0,-0.000260787,2.03504e-06,4.53637e-07,3.53993e-09,9.96798e-16,1.00116
18,1,0.144531,0.0117188,1.00111,0.00113231,0,0,-0.000257014,2.00569e-06,4.39247e-07,3.42781e-09,1.72525e-15,1.00111
19,1,0.152344,0.0117188,1.00106,0.00116478,0,0,-0.000252609,1.97143e-06,4.24265e-07,3.31107e-09,2.94931e-15,1.00106
20,1,0.160156,0.0117188,1.001,0.0011985,0,0,-0.000247514,1.93176e-06,4.08729e-07,3.19e-09,4.97981e-15,1.001
21,1,0.167969,0.0117188,1.00094,0.00123344,0,0,-0.000241665,1.88623e-06,3.92674e-07,3.06488e-09,8.30474e-15,1.00094
22,1,0.175781,0.0117188,1.00088,0.00126956,0,0,-0.000235002,1.83434e-06,3.76141e-07,2.93601e-09,1.36791e-14,1.00088
23,1,0.183594,0.0117188,1.00082,0.00130681,0,0,-0.000227464,1.77561e-06,3.5917e-07,2.80371e-09,2.22539e-14,1.00082
24,1,0.191406,0.0117188,1.00075,0.00134514,0,0,-0.000218991,1.70957e-06,3.418e-07,2.6683e-09,3.57576e-14,1.00075
25,1,0.199219,0.0117188,1.00069,0.00138449,0,0,-0.000209523,1.63578e-06,3.24074e-07,2.53009e-09,5.67469e-14,1.00069
26,1,0.207031,0.0117188,1.00061,0.0014248,0,0,-0.000199008,1.55379e-06,3.06034e-07,2.38942e-09,8.89459e-14,1.00062
27,1,0.214844,0.0117188,1.00054,0.001466,0,0,-0.000187391,1.4632e-06,2.87724e-07,2.24663e-09,1.37694e-13,1.00054
28,1,0.222656,0.0117188,1.00047,0.001508,0,0,-0.000174627,1.36364e-06,2.69189e-07,2.10205e-09,2.10528e-13,1.00047
29,1,0.230469,0.0117188,1.00039,0.00155073,0,0,-0.000160674,1.25478e-06,2.50472e-07,1.95605e-09,3.17911e-13,1.00039
30,1,0.238281,0.0117188,1.00031,0.00159409,0,0,-0.000145498,1.13635e-06,2.3162e-07,1.80896e-09,4.74131e-13,1.00031
31,1,0.246094,0.0117188,1.00023,0.00163799,0,0,-0.000129072,1.00814e-06,2.12677e-07,1.66115e-09,6.98372e-13,1.00023
32,1,0.253906,0.0117188,1.00015,0.00168233,0,0,-0.000111379,8.7002e-07,1.93688e-07,1.51296e-09,1.01594e-12,1.00015
33,1,0.261719,0.0117188,1.00007,0.00172698,0,0,-9.24121e-05,7.21921e-07,1.747e-07,1.36476e-09,1.4596e-12,1.00007
34,1,0.269531,0.0117188,0.999981,0.00177184,0,0,-7.21748e-05,5.63876e-07,1.55759e-07,1.21689e-09,2.07103e-12,0.999983
35,1,0.277344,0.0117188,0.999895,0.00181677,0,0,-5.06846e-05,3.96014e-07,1.3691e-07,1.06972e-09,2.90216e-12,0.999897
36,1,0.285156,0.0117188,0.999809,0.00186166,0,0,-2.79716e-05,2.1857e-07,1.18198e-07,9.236e-10,4.01635e-12,0.999811
37,1,0.292969,0.0117188,0.999722,0.00190635,0,0,-4.08109e-06,3.18923e-08,9.96691e-08,7.7888e-10,5.48927e-12,0.999723
38,1,0.300781,0.0117188,0.999634,0.0019507,0,0,2.09268e-05,1.6355e-07,8.13669e-08,6.35911e-10,7.40911e-12,0.999636
39,1,0.308594,0.0117188,0.999546,0.00199458,0,0,4.69757e-05,3.67163e-07,6.33359e-08,4.95035e-10,9.876e-12,0.999548
40,1,0.316406,0.0117188,0.999459,0.00203781,0,0,7.39727e-05,5.78224e-07,4.56194e-08,3.56594e-10,1.30003e-11,0.999461
41,1,0.324219,0.0117188,0.999371,0.00208026,0,0,0.000101808,7.95877e-07,2.826e-08,2.2092e-10,1.68998e-11,0.999373
42,1,0.332031,0.0117188,0.999285,0.00212176,0,0,0.000130356,1.01914e-06,1.12996e-08,8.83413e-11,2.16949e-11,0.999287
43,1,0.339844,0.0117188,0.999199,0.00216214,0,0,0.000159474,1.24689e-06,-5.22102e-09,4.08219e-11,2.75028e-11,0.999201
44,1,0.347656,0.0117188,0.999114,0.00220125,0,0,0.000189003,1.47789e-06,-2.12622e-08,1.66258e-10,3.44295e-11,0.999117
45,1,0.355469,0.0117188,0.999031,0.00223892,0,0,0.000218768,1.71078e-06,-3.67853e-08,2.87663e-10,4.25614e-11,0.999034
46,1,0.363281,0.0117188,0.99895,0.002275,0,0,0.000248584,1.9441e-06,-5.17531e-08,4.04745e-10,5.19545e-11,0.998953
47,1,0.371094,0.0117188,0.998871,0.00230932,0,0,0.00027825,2.17628e-06,-6.61294e-08,5.17219e-10,6.26248e-11,0.998874
