i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
124,0,0.972656,0.00390625,1.00009,4.20919e-05,0,0,-0.000523993,4.09334e-06,-0.000544094,4.25037e-06,-1.82713e-20,1.00009
125,0,0.980469,0.00390625,1.00009,4.16858e-05,0,0,-0.000387406,3.02635e-06,-0.000408006,3.18727e-06,-8.97906e-21,1.00009
126,0,0.988281,0.00390625,1.00009,4.1694e-05,0,0,-0.000250968,1.96052e-06,-0.00027197,2.12458e-06,-4.35411e-21,1.00009
127,0,0.996094,0.00390625,1.00009,4.21163e-05,0,0,-0.000114666,8.9575e-07,-0.000135974,1.06221e-06,-2.08356e-21,1.00009
0,1,0.00390625,0.0117188,1.00009,4.30666e-05,0,0,8.97207e-05,7.00882e-07,6.79871e-05,5.31103e-07,1.34163e-20,1.00009
1,1,0.0117188,0.0117188,1.00009,4.51669e-05,0,0,0.000227379,1.77624e-06,0.000205221,1.60315e-06,2.86429e-20,1.00009
2,1,0.0195312,0.0117188,1.00009,4.76961e-05,0,0,0.000365385,2.85432e-06,0.000342896,2.67863e-06,6.04017e-20,1.00009
3,1,0.0273438,0.0117188,1.00009,5.06641e-05,0,0,0.000503763,3.9353e-06,0.000481031,3.75772e-06,1.25814e-19,1.00009
4,1,0.0351562,0.0117188,1.00009,5.40823e-05,0,0,0.000642533,5.01933e-06,0.000619639,4.84049e-06,2.58855e-19,1.00009
5,1,0.0429688,0.0117188,1.00009,5.79632e-05,0,0,0.000781706,6.10651e-06,0.000758723,5.92697e-06,5.26053e-19,1.00009
6,1,0.0507812,0.0117188,1.00009,6.23209e-05,0,0,0.000921282,7.19683e-06,0.000898274,7.0171e-06,1.05596e-18,1.00009
7,1,0.0585938,0.0117188,1.0001,6.71706e-05,0,0,0.00106125,8.29021e-06,0.00103827,8.11069e-06,2.09367e-18,1.0001
8,1,0.0664062,0.0117188,1.0001,7.25282e-05,0,0,0.00120158,9.38641e-06,0.00117866,9.2074e-06,4.10027e-18,1.0001
9,1,0.0742188,0.0117188,1.0001,7.84108e-05,0,0,0.00134222,1.04851e-05,0.0013194,1.03068e-05,7.93152e-18,1.0001
10,1,0.0820312,0.0117188,1.0001,8.48358e-05,0,0,0.00148312,1.15857e-05,0.00146039,1.14081e-05,1.51544e-17,1.0001
11,1,0.0898438,0.0117188,1.0001,9.18212e-05,0,0,0.00162416,1.26875e-05,0.00160152,1.25106e-05,2.85997e-17,1.00011
12,1,0.0976562,0.0117188,1.00011,9.93852e-05,0,0,0.00176525,1.37896e-05,0.00174267,1.36131e-05,5.33114e-17,1.00011
13,1,0.105469,0.0117188,1.00011,0.000107546,0,0,0.00190624,1.48909e-05,0.00188365,1.47144e-05,9.81553e-17,1.00011
14,1,0.113281,0.0117188,1.00011,0.000116321,0,0,0.00204697,1.59901e-05,0.00202429,1.5813e-05,1.78501e-16,1.00011
15,1,0.121094,0.0117188,1.00011,0.000125728,0,0,0.00218723,1.70858e-05,0.00216435,1.6907e-05,3.20627e-16,1.00011
16,1,0.128906,0.0117188,1.00012,0.000135782,0,0,0.0023268,1.8176e-05,0.00230358,1.79946e-05,5.68839e-16,1.00012
17,1,0.136719,0.0117188,1.00012,0.0001465,0,0,0.00246542,1.92588e-05,0.00244168,1.90734e-05,9.96798e-16,1.00012
18,1,0.144531,0.0117188,1.00012,0.000157894,0,0,0.00260283,2.03321e-05,0.00257835,2.01409e-05,1.72525e-15,1.00012
19,1,0.152344,0.0117188,1.00012,0.000169977,0,0,0.00273869,2.13934e-05,0.00271323,2.11945e-05,2.94931e-15,1.00012
20,1,0.160156,0.0117188,1.00012,0.000182758,0,0,0.00287268,2.244e-05,0.00284593,2.22311e-05,4.97981e-15,1.00012
21,1,0.167969,0.0117188,1.00012,0.000196243,0,0,0.00300442,2.34691e-05,0.00297605,2.32475e-05,8.30474e-15,1.00012
22,1,0.175781,0.0117188,1.00012,0.000210436,0,0,0.00313353,2.44777e-05,0.00310315,2.42404e-05,1.36791e-14,1.00012
23,1,0.183594,0.0117188,1.00012,0.000225339,0,0,0.00325959,2.54624e-05,0.00322677,2.5206e-05,2.22539e-14,1.00012
24,1,0.191406,0.0117188,1.00012,0.000240948,0,0,0.00338216,2.64198e-05,0.00334641,2.61406e-05,3.57576e-14,1.00012
25,1,0.199219,0.0117188,1.00012,0.000257255,0,0,0.00350078,2.73465e-05,0.00346157,2.70402e-05,5.67469e-14,1.00012
