i,j,x,y,Bx,By,Bz,psi,divB,normDivB,Bmag
10,1,0.0820312,0.0117188,1.00299,0.00250746,0,-0.00453121,0.0786466,0.000612593,1.00299
11,1,0.0898438,0.0117188,1.00318,0.00277631,0,-0.00498484,0.0832265,0.000648142,1.00319
12,1,0.0976562,0.0117188,1.00338,0.00306109,0,-0.00544094,0.0871226,0.000678352,1.00338
13,1,0.105469,0.0117188,1.00356,0.00336052,0,-0.00589643,0.0902745,0.000702761,1.00357
14,1,0.113281,0.0117188,1.00374,0.00367314,0,-0.00634784,0.0926284,0.000720955,1.00375
15,1,0.121094,0.0117188,1.00391,0.00399726,0,-0.00679138,0.0941394,0.000732592,1.00392
16,1,0.128906,0.0117188,1.00407,0.00433106,0,-0.00722303,0.0947729,0.000737409,1.00407
17,1,0.136719,0.0117188,1.0042,0.00467252,0,-0.00763859,0.0945065,0.000735236,1.00421
18,1,0.144531,0.0117188,1.00431,0.00501953,0,-0.00803385,0.0933308,0.000726008,1.00432
19,1,0.152344,0.0117188,1.0044,0.00536985,0,-0.00840464,0.0912509,0.000709767,1.00441
20,1,0.160156,0.0117188,1.00445,0.00572121,0,-0.00874694,0.0882862,0.000686667,1.00447
21,1,0.167969,0.0117188,1.00448,0.00607128,0,-0.00905697,0.0844712,0.000656975,1.0045
22,1,0.175781,0.0117188,1.00448,0.00641778,0,-0.00933132,0.0798542,0.000621068,1.0045
23,1,0.183594,0.0117188,1.00444,0.00675847,0,-0.00956697,0.0744973,0.000579426,1.00446
24,1,0.191406,0.0117188,1.00436,0.0070912,0,-0.00976139,0.0684746,0.00053262,1.00439
25,1,0.199219,0.0117188,1.00425,0.00741397,0,-0.00991261,0.0618706,0.000481303,1.00428
26,1,0.207031,0.0117188,1.00411,0.00772493,0,-0.0100192,0.0547786,0.000426193,1.00414
27,1,0.214844,0.0117188,1.00393,0.00802243,0,-0.0100804,0.0472984,0.00036806,1.00396
28,1,0.222656,0.0117188,1.00372,0.00830504,0,-0.0100959,0.0395339,0.000307703,1.00375
29,1,0.230469,0.0117188,1.00348,0.00857155,0,-0.0100662,0.0315908,0.000245939,1.00351
30,1,0.238281,0.0117188,1.0032,0.00882103,0,-0.00999225,0.0235746,0.000183582,1.00324
31,1,0.246094,0.0117188,1.0029,0.00905279,0,-0.00987551,0.015588,0.000121424,1.00294
32,1,0.253906,0.0117188,1.00257,0.00926639,0,-0.00971799,0.00772912,6.02262e-05,1.00262
33,1,0.261719,0.0117188,1.00222,0.00946166,0,-0.0095221,8.95836e-05,6.98288e-07,1.00227
34,1,0.269531,0.0117188,1.00186,0.00963864,0,-0.00929061,-0.00724693,5.65092e-05,1.0019
35,1,0.277344,0.0117188,1.00147,0.00979765,0,-0.0090266,-0.014206,0.000110816,1.00152
36,1,0.285156,0.0117188,1.00107,0.00993915,0,-0.00873335,-0.0207231,0.000161718,1.00112
37,1,0.292969,0.0117188,1.00067,0.0100638,0,-0.00841431,-0.0267446,0.000208793,1.00072
38,1,0.300781,0.0117188,1.00025,0.0101726,0,-0.00807296,-0.0322278,0.000251703,1.0003
39,1,0.308594,0.0117188,0.999832,0.0102663,0,-0.00771285,-0.0371406,0.000290194,0.999885
40,1,0.316406,0.0117188,0.999413,0.0103461,0,-0.00733742,-0.0414617,0.000324092,0.999467
41,1,0.324219,0.0117188,0.998997,0.0104131,0,-0.00695004,-0.0451798,0.000353303,0.999051
42,1,0.332031,0.0117188,0.998585,0.0104686,0,-0.00655389,-0.048293,0.000377803,0.99864
43,1,0.339844,0.0117188,0.99818,0.0105138,0,-0.00615197,-0.0508077,0.000397637,0.998235
44,1,0.347656,0.0117188,0.997784,0.0105498,0,-0.00574703,-0.0527377,0.000412905,0.99784
45,1,0.355469,0.0117188,0.9974,0.010578,0,-0.00534157,-0.0541034,0.000423761,0.997456
46,1,0.363281,0.0117188,0.997029,0.0105994,0,-0.0049378,-0.0549306,0.0004304,0.997085
47,1,0.371094,0.0117188,0.996672,0.0106152,0,-0.00453766,-0.0552493,0.000433051,0.996729
48,1,0.378906,0.0117188,0.996332,0.0106264,0,-0.00414279,-0.0550926,0.000431971,0.996389
49,1,0.386719,0.0117188,0.996009,0.0106338,0,-0.00375453,-0.0544964,0.000427435,0.996066
50,1,0.394531,0.0117188,0.995704,0.0106385,0,-0.00337395,-0.0534978,0.000419731,0.995761
51,1,0.402344,0.0117188,0.995419,0.010641,0,-0.00300185,-0.0521346,0.000409152,0.995476
52,1,0.410156,0.0117188,0.995153,0.0106421,0,-0.00263877,-0.0504446,0.000395996,0.99521
53,1,0.417969,0.0117188,0.994908,0.0106422,0,-0.00228503,-0.0484654,0.000380552,0.994965
54,1,0.425781,0.0117188,0.994684,0.0106419,0,-0.0019407,-0.0462333,0.000363107,0.994741
55,1,0.433594,0.0117188,0.994482,0.0106414,0,-0.00160569,-0.0437834,0.000343936,0.994539
56,1,0.441406,0.0117188,0.994302,0.0106411,0,-0.00127973,-0.0411494,0.000323304,0.994359
57,1,0.449219,0.0117188,0.994144,0.010641,0,-0.000962384,-0.0383632,0.00030146,0.994201
58,1,0.457031,0.0117188,0.994008,0.0106413,0,-0.0006531,-0.0354548,0.000278644,0.994065
59,1,0.464844,0.0117188,0.993895,0.0106422,0,-0.000351217,-0.0324528,0.00025508,0.993952
60,1,0.472656,0.0117188,0.993805,0.0106435,0,-5.59888e-05,-0.0293839,0.000230979,0.993862
61,1,0.480469,0.0117188,0.993737,0.0106452,0,0.0002334,-0.0262733,0.000206542,0.993794
62,1,0.488281,0.0117188,0.993693,0.0106473,0,0.000517813,-0.023145,0.000181957,0.99375
63,1,0.496094,0.0117188,0.993671,0.0106496,0,0.000798142,-0.0200216,0.000157406,0.993728
64,1,0.503906,0.0117188,0.993672,0.0106519,0,0.00107529,-0.016925,0.000133061,0.99373
65,1,0.511719,0.0117188,0.993696,0.0106542,0,0.00135018,-0.0138763,0.00010909,0.993754
66,1,0.519531,0.0117188,0.993743,0.0106561,0,0.00162367,-0.0108962,8.56578e-05,0.9938
67,1,0.527344,0.0117188,0.993812,0.0106574,0,0.00189664,-0.00800517,6.29262e-05,0.993869
68,1,0.535156,0.0117188,0.993903,0.0106578,0,0.00216989,-0.00522364,4.10576e-05,0.99396
69,1,0.542969,0.0117188,0.994016,0.0106569,0,0.00244416,-0.00257229,2.02158e-05,0.994073
70,1,0.550781,0.0117188,0.99415,0.0106543,0,0.00272012,-7.21492e-05,5.6695e-07,0.994208
71,1,0.558594,0.0117188,0.994306,0.0106495,0,0.00299834,0.00225528,1.77193e-05,0.994363
72,1,0.566406,0.0117188,0.994483,0.010642,0,0.0032793,0.00438797,3.44692e-05,0.994539
73,1,0.574219,0.0117188,0.994679,0.0106311,0,0.00356333,0.00630332,4.95053e-05,0.994736
74,1,0.582031,0.0117188,0.994895,0.010616,0,0.00385065,0.00797824,6.26462e-05,0.994952
75,1,0.589844,0.0117188,0.99513,0.0105961,0,0.0041413,0.00938925,7.37083e-05,0.995187
76,1,0.597656,0.0117188,0.995383,0.0105704,0,0.00443518,0.0105127,8.25067e-05,0.99544
77,1,0.605469,0.0117188,0.995654,0.010538,0,0.00473199,0.011325,8.88575e-05,0.99571
78,1,0.613281,0.0117188,0.995941,0.0104978,0,0.00503124,0.0118029,9.25809e-05,0.995996
79,1,0.621094,0.0117188,0.996243,0.0104489,0,0.00533224,0.0119242,9.3504e-05,0.996298
80,1,0.628906,0.0117188,0.99656,0.0103901,0,0.00563409,0.0116679,9.1465e-05,0.996614
81,1,0.636719,0.0117188,0.996889,0.0103202,0,0.00593567,0.0110149,8.63175e-05,0.996943
82,1,0.644531,0.0117188,0.99723,0.0102383,0,0.00623563,0.00994862,7.79354e-05,0.997283
83,1,0.652344,0.0117188,0.997581,0.0101432,0,0.00653244,0.00845581,6.62178e-05,0.997632
84,1,0.660156,0.0117188,0.99794,0.0100339,0,0.00682434,0.00652698,5.10947e-05,0.99799
85,1,0.667969,0.0117188,0.998305,0.00990946,0,0.00710936,0.00415728,3.25323e-05,0.998354
86,1,0.675781,0.0117188,0.998675,0.00976903,0,0.00738538,0.00134716,1.05381e-05,0.998722
87,1,0.683594,0.0117188,0.999046,0.00961193,0,0.00765013,-0.00189701,1.48339e-05,0.999093
88,1,0.691406,0.0117188,0.999418,0.00943761,0,0.0079012,-0.00556232,4.3479e-05,0.999463
89,1,0.699219,0.0117188,0.999787,0.00924572,0,0.00813609,-0.00962886,7.52382e-05,0.99983
90,1,0.707031,0.0117188,1.00015,0.00903611,0,0.00835227,-0.0140693,0.000109895,1.00019
91,1,0.714844,0.0117188,1.00051,0.00880884,0,0.00854721,-0.0188488,0.000147176,1.00055
92,1,0.722656,0.0117188,1.00085,0.00856423,0,0.0087184,-0.023925,0.000186747,1.00089
93,1,0.730469,0.0117188,1.00119,0.00830283,0,0.00886347,-0.0292477,0.000228219,1.00122
94,1,0.738281,0.0117188,1.00151,0.00802545,0,0.00898016,-0.0347602,0.000271147,1.00154
95,1,0.746094,0.0117188,1.00181,0.00773313,0,0.00906645,-0.0403991,0.000315039,1.00184
