i,j,x,y,Bx,By,Bz,psi,divB,normDivB,Bmag
2,1,0.0195312,0.0117188,1.00001,7.35835e-06,0,-6.42314e-06,0.000273702,2.13827e-06,1.00001
3,1,0.0273438,0.0117188,1.00001,8.56657e-06,0,-8.58897e-06,0.00036384,2.84246e-06,1.00001
4,1,0.0351562,0.0117188,1.00001,1.00209e-05,0,-1.089e-05,0.000458065,3.57858e-06,1.00001
5,1,0.0429688,0.0117188,1.00002,1.17435e-05,0,-1.33533e-05,0.00055711,4.35235e-06,1.00002
6,1,0.0507812,0.0117188,1.00002,1.37597e-05,0,-1.60043e-05,0.000661642,5.16898e-06,1.00002
7,1,0.0585938,0.0117188,1.00002,1.60974e-05,0,-1.88669e-05,0.000772246,6.03305e-06,1.00002
8,1,0.0664062,0.0117188,1.00002,1.87869e-05,0,-2.19631e-05,0.000889416,6.9484e-06,1.00002
9,1,0.0742188,0.0117188,1.00003,2.18612e-05,0,-2.53122e-05,0.00101354,7.91811e-06,1.00003
10,1,0.0820312,0.0117188,1.00003,2.5355e-05,0,-2.89311e-05,0.00114491,8.94436e-06,1.00003
11,1,0.0898438,0.0117188,1.00003,2.93052e-05,0,-3.28337e-05,0.00128368,1.00285e-05,1.00003
12,1,0.0976562,0.0117188,1.00004,3.375e-05,0,-3.70303e-05,0.00142991,1.11708e-05,1.00004
13,1,0.105469,0.0117188,1.00004,3.87293e-05,0,-4.15281e-05,0.00158351,1.23707e-05,1.00004
14,1,0.113281,0.0117188,1.00004,4.42835e-05,0,-4.63302e-05,0.00174428,1.36266e-05,1.00004
15,1,0.121094,0.0117188,1.00005,5.04543e-05,0,-5.1436e-05,0.0019119,1.4936e-05,1.00005
16,1,0.128906,0.0117188,1.00005,5.72834e-05,0,-5.68408e-05,0.00208593,1.62955e-05,1.00005
17,1,0.136719,0.0117188,1.00006,6.48126e-05,0,-6.25357e-05,0.00226582,1.77007e-05,1.00006
18,1,0.144531,0.0117188,1.00006,7.30834e-05,0,-6.85076e-05,0.00245091,1.91465e-05,1.00006
19,1,0.152344,0.0117188,1.00007,8.21367e-05,0,-7.47393e-05,0.00264044,2.0627e-05,1.00007
20,1,0.160156,0.0117188,1.00007,9.20124e-05,0,-8.12095e-05,0.00283357,2.21356e-05,1.00007
21,1,0.167969,0.0117188,1.00008,0.000102749,0,-8.78931e-05,0.00302938,2.36651e-05,1.00008
22,1,0.175781,0.0117188,1.00008,0.000114383,0,-9.47609e-05,0.00322687,2.52078e-05,1.00008
23,1,0.183594,0.0117188,1.00009,0.000126949,0,-0.00010178,0.00342502,2.67556e-05,1.00009
24,1,0.191406,0.0117188,1.00009,0.000140479,0,-0.000108916,0.00362273,2.82999e-05,1.00009
25,1,0.199219,0.0117188,1.0001,0.000155003,0,-0.000116129,0.00381888,2.9832e-05,1.0001
26,1,0.207031,0.0117188,1.0001,0.000170545,0,-0.000123377,0.00401233,3.13431e-05,1.0001
27,1,0.214844,0.0117188,1.00011,0.000187128,0,-0.000130618,0.00420192,3.2824e-05,1.00011
28,1,0.222656,0.0117188,1.00011,0.000204769,0,-0.000137805,0.00438651,3.42659e-05,1.00011
29,1,0.230469,0.0117188,1.00011,0.000223482,0,-0.000144891,0.00456494,3.56596e-05,1.00011
30,1,0.238281,0.0117188,1.00012,0.000243273,0,-0.000151828,0.00473607,3.69963e-05,1.00012
31,1,0.246094,0.0117188,1.00012,0.000264146,0,-0.000158567,0.00489878,3.82672e-05,1.00012
32,1,0.253906,0.0117188,1.00012,0.000286096,0,-0.000165059,0.00505197,3.94638e-05,1.00012
33,1,0.261719,0.0117188,1.00012,0.000309112,0,-0.000171253,0.00519456,4.05777e-05,1.00012
34,1,0.269531,0.0117188,1.00012,0.000333173,0,-0.000177099,0.00532553,4.16008e-05,1.00012
35,1,0.277344,0.0117188,1.00012,0.000358253,0,-0.00018255,0.00544385,4.25251e-05,1.00012
36,1,0.285156,0.0117188,1.00011,0.000384316,0,-0.000187557,0.00554855,4.33431e-05,1.00011
37,1,0.292969,0.0117188,1.00011,0.000411313,0,-0.000192073,0.0056387,4.40475e-05,1.00011
38,1,0.300781,0.0117188,1.0001,0.000439188,0,-0.000196052,0.00571338,4.46311e-05,1.0001
39,1,0.308594,0.0117188,1.0001,0.00046787,0,-0.00019945,0.00577174,4.50872e-05,1.0001
40,1,0.316406,0.0117188,1.00009,0.000497276,0,-0.000202225,0.00581294,4.54094e-05,1.00009
41,1,0.324219,0.0117188,1.00008,0.000527309,0,-0.000204337,0.0058362,4.55915e-05,1.00008
42,1,0.332031,0.0117188,1.00007,0.000557859,0,-0.000205748,0.00584079,4.56278e-05,1.00007
43,1,0.339844,0.0117188,1.00006,0.000588796,0,-0.000206423,0.00582601,4.55128e-05,1.00006
44,1,0.347656,0.0117188,1.00005,0.000619978,0,-0.00020633,0.00579123,4.52417e-05,1.00005
45,1,0.355469,0.0117188,1.00004,0.000651243,0,-0.000205441,0.00573588,4.48098e-05,1.00004
46,1,0.363281,0.0117188,1.00002,0.000682415,0,-0.000203731,0.00565945,4.42134e-05,1.00003
47,1,0.371094,0.0117188,1.00001,0.0007133,0,-0.00020118,0.00556154,4.34491e-05,1.00001
48,1,0.378906,0.0117188,0.999995,0.000743687,0,-0.000197772,0.00544183,4.25145e-05,0.999995
49,1,0.386719,0.0117188,0.999979,0.000773353,0,-0.000193497,0.0053001,4.14079e-05,0.999979
50,1,0.394531,0.0117188,0.999963,0.00080206,0,-0.000188352,0.00513628,4.01286e-05,0.999963
51,1,0.402344,0.0117188,0.999946,0.000829561,0,-0.000182337,0.00495043,3.86773e-05,0.999946
52,1,0.410156,0.0117188,0.999929,0.000855602,0,-0.000175462,0.00474278,3.70556e-05,0.999929
53,1,0.417969,0.0117188,0.999912,0.000879926,0,-0.000167743,0.00451374,3.52666e-05,0.999913
54,1,0.425781,0.0117188,0.999896,0.000902279,0,-0.000159206,0.0042639,3.33152e-05,0.999896
55,1,0.433594,0.0117188,0.99988,0.000922412,0,-0.000149882,0.00399407,3.12074e-05,0.99988
56,1,0.441406,0.0117188,0.999864,0.00094009,0,-0.000139813,0.00370528,2.89514e-05,0.999865
57,1,0.449219,0.0117188,0.99985,0.000955093,0,-0.000129048,0.00339878,2.65569e-05,0.99985
58,1,0.457031,0.0117188,0.999836,0.000967228,0,-0.000117647,0.00307603,2.40354e-05,0.999837
59,1,0.464844,0.0117188,0.999824,0.000976329,0,-0.000105674,0.00273871,2.13999e-05,0.999825
60,1,0.472656,0.0117188,0.999814,0.000982264,0,-9.32043e-05,0.00238872,1.86654e-05,0.999814
61,1,0.480469,0.0117188,0.999805,0.000984939,0,-8.03179e-05,0.00202814,1.58479e-05,0.999805
62,1,0.488281,0.0117188,0.999797,0.000984302,0,-6.71012e-05,0.00165919,1.29651e-05,0.999798
63,1,0.496094,0.0117188,0.999792,0.000980341,0,-5.36453e-05,0.00128425,1.00353e-05,0.999792
64,1,0.503906,0.0117188,0.999788,0.000973091,0,-4.00447e-05,0.00090577,7.07783e-06,0.999789
65,1,0.511719,0.0117188,0.999786,0.00096263,0,-2.63955e-05,0.00052627,4.11236e-06,0.999787
66,1,0.519531,0.0117188,0.999787,0.000949075,0,-1.27946e-05,0.000148276,1.15865e-06,0.999787
67,1,0.527344,0.0117188,0.999789,0.000932584,0,6.62211e-07,-0.000225712,1.76375e-06,0.999789
68,1,0.535156,0.0117188,0.999793,0.000913348,0,1.38818e-05,-0.000593262,4.63582e-06,0.999793
69,1,0.542969,0.0117188,0.999799,0.000891587,0,2.6775e-05,-0.000952052,7.4394e-06,0.999799
70,1,0.550781,0.0117188,0.999806,0.000867545,0,3.92577e-05,-0.0012999,1.01574e-05,0.999806
71,1,0.558594,0.0117188,0.999815,0.000841484,0,5.12521e-05,-0.00163479,1.27742e-05,0.999815
72,1,0.566406,0.0117188,0.999825,0.000813677,0,6.26877e-05,-0.00195492,1.52755e-05,0.999826
73,1,0.574219,0.0117188,0.999837,0.000784401,0,7.35019e-05,-0.00225868,1.76488e-05,0.999837
74,1,0.582031,0.0117188,0.999849,0.000753935,0,8.36403e-05,-0.00254468,1.98833e-05,0.99985
75,1,0.589844,0.0117188,0.999863,0.00072255,0,9.30574e-05,-0.00281177,2.197e-05,0.999863
76,1,0.597656,0.0117188,0.999876,0.000690511,0,0.000101716,-0.00305903,2.39016e-05,0.999877
77,1,0.605469,0.0117188,0.999891,0.000658065,0,0.000109588,-0.00328573,2.56726e-05,0.999891
78,1,0.613281,0.0117188,0.999905,0.000625445,0,0.000116654,-0.00349139,2.72791e-05,0.999905
79,1,0.621094,0.0117188,0.99992,0.000592866,0,0.000122901,-0.00367569,2.87186e-05,0.99992
80,1,0.628906,0.0117188,0.999934,0.000560521,0,0.000128325,-0.0038385,2.99902e-05,0.999934
81,1,0.636719,0.0117188,0.999948,0.000528585,0,0.000132927,-0.00397985,3.10942e-05,0.999948
82,1,0.644531,0.0117188,0.999962,0.00049721,0,0.000136718,-0.00409993,3.20319e-05,0.999962
83,1,0.652344,0.0117188,0.999975,0.000466531,0,0.00013971,-0.00419903,3.28058e-05,0.999975
84,1,0.660156,0.0117188,0.999987,0.000436661,0,0.000141923,-0.00427758,3.3419e-05,0.999987
85,1,0.667969,0.0117188,0.999999,0.000407695,0,0.000143382,-0.00433608,3.38757e-05,0.999999
86,1,0.675781,0.0117188,1.00001,0.000379715,0,0.000144114,-0.00437514,3.41805e-05,1.00001
87,1,0.683594,0.0117188,1.00002,0.000352781,0,0.000144151,-0.00439542,3.43386e-05,1.00002
88,1,0.691406,0.0117188,1.00003,0.000326945,0,0.000143528,-0.00439766,3.43558e-05,1.00003
89,1,0.699219,0.0117188,1.00004,0.000302243,0,0.000142282,-0.00438265,3.42382e-05,1.00004
90,1,0.707031,0.0117188,1.00004,0.0002787,0,0.000140452,-0.00435121,3.39924e-05,1.00004
