i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
70,0,0.550781,0.00390625,0.999813,0.000902723,0,7.17807e-05,-0.00204491,1.59788e-05,-0.00258753,2.02189e-05,6.24755e-11,0.999813
71,0,0.558594,0.00390625,0.999824,0.000880956,0,8.37028e-05,-0.00237537,1.85609e-05,-0.00289255,2.2602e-05,5.50871e-11,0.999824
72,0,0.566406,0.00390625,0.999836,0.000857171,0,9.50176e-05,-0.00269018,2.10205e-05,-0.00318,2.48478e-05,4.79016e-11,0.999836
73,0,0.574219,0.00390625,0.999849,0.000831609,0,0.000105666,-0.00298784,2.3346e-05,-0.00344892,2.69487e-05,4.10718e-11,0.99985
74,0,0.582031,0.00390625,0.999863,0.000804521,0,0.000115597,-0.00326707,2.55275e-05,-0.00369853,2.88987e-05,3.47183e-11,0.999864
75,0,0.589844,0.00390625,0.999878,0.000776157,0,0.000124768,-0.00352682,2.75567e-05,-0.00392827,3.06934e-05,2.89273e-11,0.999878
76,0,0.597656,0.00390625,0.999893,0.000746764,0,0.000133145,-0.00376624,2.94269e-05,-0.00413775,3.23296e-05,2.37518e-11,0.999894
77,0,0.605469,0.00390625,0.999909,0.000716583,0,0.000140703,-0.0039847,3.11333e-05,-0.00432674,3.38058e-05,1.92137e-11,0.999909
78,0,0.613281,0.00390625,0.999924,0.000685844,0,0.000147423,-0.00418174,3.26723e-05,-0.00449516,3.51211e-05,1.53079e-11,0.999925
79,0,0.621094,0.00390625,0.99994,0.000654765,0,0.000153296,-0.00435712,3.4042e-05,-0.00464305,3.6276e-05,1.20077e-11,0.99994
80,0,0.628906,0.00390625,0.999955,0.000623546,0,0.000158318,-0.00451074,3.52418e-05,-0.00477056,3.72717e-05,9.26941e-12,0.999955
81,0,0.636719,0.00390625,0.99997,0.000592375,0,0.000162494,-0.00464267,3.6272e-05,-0.00487793,3.811e-05,7.03838e-12,0.99997
82,0,0.644531,0.00390625,0.999984,0.00056142,0,0.000165834,-0.00475311,3.71343e-05,-0.00496549,3.87935e-05,5.25348e-12,0.999984
83,0,0.652344,0.00390625,0.999997,0.000530831,0,0.000168352,-0.00484237,3.78311e-05,-0.00503364,3.93254e-05,3.85159e-12,0.999998
84,0,0.660156,0.00390625,1.00001,0.000500744,0,0.000170068,-0.00491087,3.83658e-05,-0.00508283,3.97092e-05,2.77094e-12,1.00001
85,0,0.667969,0.00390625,1.00002,0.000471276,0,0.000171009,-0.00495913,3.87423e-05,-0.00511357,3.99489e-05,1.95375e-12,1.00002
86,0,0.675781,0.00390625,1.00003,0.000442527,0,0.000171201,-0.00498774,3.89654e-05,-0.00512642,4.00488e-05,1.34789e-12,1.00003
87,0,0.683594,0.00390625,1.00004,0.000414586,0,0.000170678,-0.00499737,3.90403e-05,-0.00512197,4.00137e-05,9.07891e-13,1.00004
88,0,0.691406,0.00390625,1.00005,0.000387524,0,0.000169473,-0.00498874,3.89725e-05,-0.00510087,3.98485e-05,5.95228e-13,1.00005
