step,time,L1,L2,Linf
204,0.0063746,0.182223,0.366093,1.00639
205,0.00640585,0.182147,0.365865,1.00554
206,0.0064371,0.182072,0.365637,1.00469
207,0.00646835,0.181996,0.36541,1.00384
208,0.00649959,0.181921,0.365184,1.00299
209,0.00653084,0.181846,0.364957,1.00214
210,0.00656209,0.181771,0.364731,1.00134
211,0.00659334,0.181696,0.364505,1.00053
212,0.00662459,0.181621,0.36428,0.999721
213,0.00665583,0.181546,0.364055,0.998915
214,0.00668708,0.181471,0.36383,0.99811
215,0.00671833,0.181396,0.363606,0.997306
216,0.00674958,0.181322,0.363381,0.996503
217,0.00678083,0.181247,0.363158,0.995701
218,0.00681207,0.181173,0.362934,0.9949
219,0.00684332,0.181099,0.362711,0.9941
220,0.00687457,0.181024,0.362488,0.993301
221,0.00690582,0.18095,0.362266,0.992503
222,0.00693707,0.180876,0.362043,0.991705
223,0.00696831,0.180802,0.361822,0.990909
224,0.00699956,0.180729,0.3616,0.990114
225,0.00703081,0.180655,0.361379,0.989319
226,0.00706206,0.180581,0.361158,0.988526
227,0.00709331,0.180508,0.360937,0.987733
228,0.00712455,0.180434,0.360717,0.986941
229,0.0071558,0.180361,0.360497,0.986151
230,0.00718705,0.180287,0.360277,0.985361
231,0.0072183,0.180214,0.360058,0.984572
232,0.00724955,0.180141,0.359839,0.983784
233,0.00728079,0.180068,0.35962,0.982997
234,0.00731204,0.179995,0.359401,0.982211
235,0.00734329,0.179922,0.359183,0.981426
236,0.00737454,0.17985,0.358965,0.980642
237,0.00740579,0.179777,0.358748,0.979859
238,0.00743704,0.179704,0.358531,0.979077
239,0.00746828,0.179632,0.358314,0.978295
240,0.00749953,0.179559,0.358097,0.977515
241,0.00753078,0.179487,0.357881,0.976736
242,0.00756203,0.179415,0.357665,0.975957
243,0.00759328,0.179343,0.357449,0.975179
244,0.00762452,0.179271,0.357234,0.974403
245,0.00765577,0.179199,0.357019,0.973627
246,0.00768702,0.179127,0.356804,0.972852
247,0.00771827,0.179055,0.35659,0.972078
248,0.00774952,0.178983,0.356375,0.971305
249,0.00778076,0.178912,0.356162,0.970533
250,0.00781201,0.17884,0.355948,0.969762
251,0.00784326,0.178769,0.355735,0.968991
252,0.00787451,0.178697,0.355522,0.968222
253,0.00790576,0.178626,0.355309,0.967454
254,0.007937,0.178555,0.355097,0.966686
255,0.00796825,0.178484,0.354885,0.96592
256,0.0079995,0.178413,0.354673,0.965154
257,0.00803075,0.178342,0.354461,0.964389
258,0.008062,0.178271,0.35425,0.963625
259,0.00809324,0.1782,0.354039,0.962862
260,0.00812449,0.178129,0.353829,0.9621
261,0.00815574,0.178059,0.353618,0.961339
262,0.00818699,0.177988,0.353408,0.960579
263,0.00821824,0.177918,0.353198,0.959819
264,0.00824948,0.177847,0.352989,0.959061
265,0.00828073,0.177777,0.35278,0.958303
266,0.00831198,0.177707,0.352571,0.957546
267,0.00834323,0.177637,0.352362,0.956791
268,0.00837448,0.177567,0.352154,0.956036
269,0.00840572,0.177497,0.351946,0.955282
270,0.00843697,0.177427,0.351738,0.954529
271,0.00846822,0.177357,0.351531,0.953776
272,0.00849947,0.177287,0.351324,0.953025
273,0.00853072,0.177218,0.351117,0.952275
274,0.00856196,0.177148,0.35091,0.951525
275,0.00859321,0.177079,0.350704,0.950776
276,0.00862446,0.17701,0.350498,0.950029
277,0.00865571,0.17694,0.350292,0.949282
278,0.00868696,0.176871,0.350087,0.948536
279,0.00871821,0.176802,0.349882,0.947791
280,0.00874945,0.176733,0.349677,0.947046
281,0.0087807,0.176664,0.349472,0.946303
282,0.00881195,0.176595,0.349268,0.94556
283,0.0088432,0.176526,0.349064,0.944819
284,0.00887445,0.176457,0.34886,0.944078
285,0.00890569,0.176389,0.348656,0.943338
286,0.00893694,0.17632,0.348453,0.942599
287,0.00896819,0.176252,0.34825,0.941861
288,0.00899944,0.176183,0.348048,0.941124
289,0.00903069,0.176115,0.347845,0.940388
290,0.00906193,0.176047,0.347643,0.939652
291,0.00909318,0.175979,0.347441,0.938917
292,0.00912443,0.175911,0.34724,0.938184
293,0.00915568,0.175843,0.347038,0.937451
294,0.00918693,0.175775,0.346837,0.936719
295,0.00921817,0.175707,0.346636,0.935987
296,0.00924942,0.175639,0.346436,0.935257
297,0.00928067,0.175571,0.346236,0.934528
298,0.00931192,0.175504,0.346036,0.933799
299,0.00934317,0.175436,0.345836,0.933071
300,0.00937441,0.175369,0.345637,0.932345
301,0.00940566,0.175301,0.345438,0.931618
302,0.00943691,0.175234,0.345239,0.930893
303,0.00946816,0.175167,0.34504,0.930169
304,0.00949941,0.1751,0.344842,0.929446
305,0.00953065,0.175033,0.344644,0.928723
306,0.0095619,0.174966,0.344446,0.928001
307,0.00959315,0.174899,0.344248,0.92728
308,0.0096244,0.174832,0.344051,0.92656
309,0.00965565,0.174765,0.343854,0.925841
310,0.00968689,0.174698,0.343657,0.925123
311,0.00971814,0.174632,0.343461,0.924405
312,0.00974939,0.174565,0.343265,0.923688
313,0.00978064,0.174499,0.343069,0.922973
314,0.00981189,0.174432,0.342873,0.922258
315,0.00984313,0.174366,0.342677,0.921544
316,0.00987438,0.1743,0.342482,0.92083
317,0.00990563,0.174234,0.342287,0.920118
318,0.00993688,0.174168,0.342093,0.919406
319,0.00996813,0.174102,0.341898,0.918695
320,0.00999938,0.174036,0.341704,0.917985
321,0.0100306,0.17397,0.34151,0.917276
322,0.0100619,0.173904,0.341317,0.916586
323,0.0100931,0.173838,0.341123,0.915909
324,0.0101244,0.173773,0.34093,0.915232
325,0.0101556,0.173707,0.340737,0.914556
326,0.0101869,0.173642,0.340545,0.913881
327,0.0102181,0.173576,0.340352,0.913206
328,0.0102494,0.173511,0.34016,0.912533
329,0.0102806,0.173446,0.339968,0.91186
330,0.0103119,0.173381,0.339777,0.911187
331,0.0103431,0.173315,0.339585,0.910516
332,0.0103744,0.17325,0.339394,0.909845
333,0.0104056,0.173185,0.339203,0.909175
334,0.0104368,0.173121,0.339013,0.908506
335,0.0104681,0.173056,0.338822,0.907837
336,0.0104993,0.172991,0.338632,0.907169
337,0.0105306,0.172926,0.338442,0.906502
338,0.0105618,0.172862,0.338253,0.905836
339,0.0105931,0.172797,0.338063,0.90517
340,0.0106243,0.172733,0.337874,0.904505
341,0.0106556,0.172668,0.337685,0.903841
342,0.0106868,0.172604,0.337497,0.903177
343,0.0107181,0.17254,0.337308,0.902515
344,0.0107493,0.172476,0.33712,0.901853
345,0.0107806,0.172412,0.336932,0.901191
346,0.0108118,0.172347,0.336745,0.900531
347,0.0108431,0.172284,0.336557,0.899871
348,0.0108743,0.17222,0.33637,0.899212
349,0.0109056,0.172156,0.336183,0.898553
350,0.0109368,0.172092,0.335997,0.897895
351,0.0109681,0.172028,0.33581,0.897238
352,0.0109993,0.171965,0.335624,0.896582
353,0.0110306,0.171901,0.335438,0.895926
354,0.0110618,0.171838,0.335252,0.895272
355,0.0110931,0.171774,0.335067,0.894617
356,0.0111243,0.171711,0.334882,0.893964
357,0.0111556,0.171648,0.334697,0.893311
358,0.0111868,0.171585,0.334512,0.892659
359,0.011218,0.171522,0.334327,0.892008
360,0.0112493,0.171459,0.334143,0.891357
361,0.0112805,0.171396,0.333959,0.890707
362,0.0113118,0.171333,0.333775,0.890058
363,0.011343,0.17127,0.333592,0.88941
364,0.0113743,0.171207,0.333408,0.888762
365,0.0114055,0.171144,0.333225,0.888115
366,0.0114368,0.171082,0.333042,0.887468
367,0.011468,0.171019,0.33286,0.886823
368,0.0114993,0.170957,0.332677,0.886178
369,0.0115305,0.170894,0.332495,0.885534
370,0.0115618,0.170832,0.332313,0.88489
371,0.011593,0.17077,0.332132,0.884247
372,0.0116243,0.170707,0.33195,0.883605
373,0.0116555,0.170645,0.331769,0.882963
374,0.0116868,0.170583,0.331588,0.882323
375,0.011718,0.170521,0.331407,0.881683
376,0.0117493,0.170459,0.331227,0.881043
377,0.0117805,0.170397,0.331046,0.880404
378,0.0118118,0.170336,0.330866,0.879766
379,0.011843,0.170274,0.330686,0.879129
380,0.0118743,0.170212,0.330507,0.878493
381,0.0119055,0.17015,0.330327,0.877857
382,0.0119368,0.170089,0.330148,0.877221
383,0.011968,0.170027,0.329969,0.876587
384,0.0119993,0.169966,0.329791,0.875953
385,0.0120305,0.169905,0.329612,0.87532
386,0.0120617,0.169843,0.329434,0.874687
387,0.012093,0.169782,0.329256,0.874056
388,0.0121242,0.169721,0.329078,0.873425
389,0.0121555,0.16966,0.3289,0.872794
390,0.0121867,0.169599,0.328723,0.872164
391,0.012218,0.169538,0.328546,0.871535
392,0.0122492,0.169477,0.328369,0.870907
393,0.0122805,0.169416,0.328192,0.870279
394,0.0123117,0.169356,0.328016,0.869652
395,0.012343,0.169295,0.327839,0.869026
396,0.0123742,0.169234,0.327663,0.8684
397,0.0124055,0.169174,0.327488,0.867775
398,0.0124367,0.169113,0.327312,0.867151
399,0.012468,0.169053,0.327137,0.866527
400,0.0124992,0.168992,0.326961,0.865904
401,0.0125305,0.168932,0.326786,0.865282
402,0.0125617,0.168872,0.326612,0.864661
403,0.012593,0.168812,0.326437,0.86404
404,0.0126242,0.168752,0.326263,0.863419
405,0.0126555,0.168692,0.326089,0.8628
406,0.0126867,0.168632,0.325915,0.862181
407,0.012718,0.168572,0.325741,0.861563
408,0.0127492,0.168512,0.325568,0.860945
409,0.0127805,0.168452,0.325395,0.860328
410,0.0128117,0.168392,0.325222,0.859712
411,0.0128429,0.168333,0.325049,0.859096
412,0.0128742,0.168273,0.324876,0.858482
413,0.0129054,0.168214,0.324704,0.857867
414,0.0129367,0.168154,0.324532,0.857254
415,0.0129679,0.168095,0.32436,0.856641
416,0.0129992,0.168035,0.324188,0.856029
417,0.0130304,0.167976,0.324017,0.855417
418,0.0130617,0.167917,0.323845,0.854806
419,0.0130929,0.167858,0.323674,0.854196
420,0.0131242,0.167799,0.323504,0.853586
421,0.0131554,0.16774,0.323333,0.852977
422,0.0131867,0.167681,0.323162,0.852369
423,0.0132179,0.167622,0.322992,0.851761
424,0.0132492,0.167563,0.322822,0.851154
425,0.0132804,0.167504,0.322652,0.850548
426,0.0133117,0.167445,0.322483,0.849942
427,0.0133429,0.167387,0.322313,0.849337
428,0.0133742,0.167328,0.322144,0.848733
429,0.0134054,0.16727,0.321975,0.848129
430,0.0134367,0.167211,0.321806,0.847526
431,0.0134679,0.167153,0.321638,0.846924
432,0.0134992,0.167094,0.321469,0.846322
433,0.0135304,0.167036,0.321301,0.845721
434,0.0135617,0.166978,0.321133,0.84512
435,0.0135929,0.16692,0.320966,0.844521
436,0.0136241,0.166862,0.320798,0.843921
437,0.0136554,0.166804,0.320631,0.843323
438,0.0136866,0.166746,0.320464,0.842725
439,0.0137179,0.166688,0.320297,0.842131
440,0.0137491,0.16663,0.32013,0.841558
441,0.0137804,0.166572,0.319963,0.840987
442,0.0138116,0.166514,0.319797,0.840416
443,0.0138429,0.166457,0.319631,0.839845
444,0.0138741,0.166399,0.319465,0.839275
445,0.0139054,0.166341,0.319299,0.838706
446,0.0139366,0.166284,0.319134,0.838137
447,0.0139679,0.166227,0.318968,0.837569
448,0.0139991,0.166169,0.318803,0.837001
449,0.0140304,0.166112,0.318638,0.836434
450,0.0140616,0.166055,0.318474,0.835867
451,0.0140929,0.165997,0.318309,0.835301
452,0.0141241,0.16594,0.318145,0.834736
453,0.0141554,0.165883,0.317981,0.834171
454,0.0141866,0.165826,0.317817,0.833607
455,0.0142179,0.165769,0.317653,0.833043
456,0.0142491,0.165712,0.317489,0.83248
457,0.0142804,0.165655,0.317326,0.831917
458,0.0143116,0.165599,0.317163,0.831355
