step,time,L1,L2,Linf
470,0.47,0.1534,0.28483,0.718828
471,0.471,0.154793,0.288416,0.730906
472,0.472,0.156148,0.291946,0.742882
473,0.473,0.157465,0.295412,0.754492
474,0.474,0.158743,0.298807,0.766294
475,0.475,0.15998,0.302124,0.777848
476,0.476,0.161175,0.305358,0.788997
477,0.477,0.162328,0.308502,0.799794
478,0.478,0.163437,0.31155,0.810707
479,0.479,0.164502,0.314496,0.821174
480,0.48,0.165521,0.317335,0.831188
481,0.481,0.166494,0.320062,0.84074
482,0.482,0.167419,0.322672,0.849823
483,0.483,0.168297,0.32516,0.858825
484,0.484,0.169127,0.327522,0.867378
485,0.485,0.169907,0.329754,0.875421
486,0.486,0.170637,0.331851,0.882948
487,0.487,0.171316,0.333811,0.889952
488,0.488,0.171945,0.33563,0.896428
489,0.489,0.172522,0.337305,0.902372
490,0.49,0.173047,0.338834,0.907778
491,0.491,0.173519,0.340213,0.912643
492,0.492,0.173939,0.34144,0.916963
493,0.493,0.174305,0.342514,0.920875
494,0.494,0.174618,0.343433,0.924248
495,0.495,0.174877,0.344195,0.927043
496,0.496,0.175083,0.344799,0.929258
497,0.497,0.175234,0.345245,0.930892
498,0.498,0.175332,0.345532,0.931945
499,0.499,0.175375,0.345659,0.932415
500,0.5,0.175365,0.345627,0.932304
