step,time,L1,L2,Linf
228,0.228,0.0669259,0.0877308,0.154423
229,0.229,0.0668035,0.0874282,0.15333
230,0.23,0.0666817,0.0871283,0.152275
231,0.231,0.0665606,0.086831,0.151219
232,0.232,0.0664402,0.0865364,0.150165
233,0.233,0.0663204,0.0862444,0.149112
234,0.234,0.0662012,0.0859549,0.148093
235,0.235,0.0660827,0.085668,0.14708
236,0.236,0.0659648,0.0853836,0.146069
237,0.237,0.0658476,0.0851016,0.14506
238,0.238,0.065731,0.084822,0.14407
239,0.239,0.0656149,0.0845449,0.143099
240,0.24,0.0654995,0.0842701,0.14213
241,0.241,0.0653847,0.0839976,0.141165
242,0.242,0.0652705,0.0837275,0.140205
243,0.243,0.0651569,0.0834596,0.139269
244,0.244,0.0650438,0.0831939,0.138343
245,0.245,0.0649314,0.0829305,0.137422
246,0.246,0.0648195,0.0826693,0.136505
247,0.247,0.0647082,0.0824102,0.135595
248,0.248,0.0645975,0.0821533,0.134703
249,0.249,0.0644873,0.0818984,0.133824
250,0.25,0.0643777,0.0816457,0.132951
251,0.251,0.0642686,0.081395,0.132083
252,0.252,0.0641601,0.0811463,0.131223
253,0.253,0.0640522,0.0808996,0.13037
254,0.254,0.0639447,0.0806549,0.129536
255,0.255,0.0638378,0.0804122,0.128711
256,0.256,0.0637315,0.0801713,0.127893
257,0.257,0.0636256,0.0799324,0.127084
258,0.258,0.0635203,0.0796954,0.126282
259,0.259,0.0634155,0.0794602,0.125489
260,0.26,0.0633112,0.0792268,0.124705
261,0.261,0.0632075,0.0789953,0.12393
262,0.262,0.0631042,0.0787655,0.123168
263,0.263,0.0630014,0.0785375,0.122417
264,0.264,0.0628991,0.0783113,0.121675
265,0.265,0.0627974,0.0780867,0.120943
266,0.266,0.0626961,0.0778639,0.12022
267,0.267,0.0625952,0.0776427,0.119507
268,0.268,0.0624949,0.0774233,0.118805
269,0.269,0.062395,0.0772054,0.118113
270,0.27,0.0622956,0.0769892,0.117431
271,0.271,0.0621967,0.0767745,0.116762
272,0.272,0.0620982,0.0765615,0.116107
273,0.273,0.0620002,0.07635,0.115465
274,0.274,0.0619027,0.0761401,0.114834
275,0.275,0.0618056,0.0759317,0.114217
276,0.276,0.0617089,0.0757247,0.113619
277,0.277,0.0616127,0.0755193,0.11304
278,0.278,0.0615169,0.0753154,0.112486
279,0.279,0.0614216,0.0751129,0.111979
280,0.28,0.0613267,0.0749118,0.111591
281,0.281,0.0612322,0.0747122,0.111238
282,0.282,0.0611382,0.074514,0.110901
283,0.283,0.0610445,0.0743171,0.110575
284,0.284,0.0609513,0.0741217,0.11026
285,0.285,0.0608585,0.0739275,0.109951
286,0.286,0.0607661,0.0737348,0.109647
287,0.287,0.0606741,0.0735433,0.109349
288,0.288,0.0605825,0.0733532,0.109057
289,0.289,0.0604913,0.0731643,0.108769
290,0.29,0.0604005,0.0729768,0.108483
291,0.291,0.0603101,0.0727905,0.1082
292,0.292,0.06022,0.0726054,0.10792
293,0.293,0.0601304,0.0724216,0.107643
294,0.294,0.0600411,0.072239,0.107368
295,0.295,0.0599522,0.0720577,0.107095
296,0.296,0.0598637,0.0718775,0.106824
297,0.297,0.0597755,0.0716985,0.106555
298,0.298,0.0596877,0.0715207,0.106288
299,0.299,0.0596003,0.071344,0.106022
300,0.3,0.0595132,0.0711685,0.105758
301,0.301,0.0594264,0.0709941,0.105496
302,0.302,0.05934,0.0708208,0.105234
303,0.303,0.059254,0.0706486,0.104974
304,0.304,0.0591683,0.0704776,0.104715
305,0.305,0.0590829,0.0703076,0.104458
306,0.306,0.0589978,0.0701387,0.104201
307,0.307,0.0589131,0.0699708,0.103945
308,0.308,0.0588287,0.069804,0.10369
309,0.309,0.0587446,0.0696382,0.103436
310,0.31,0.0586608,0.0694735,0.103182
311,0.311,0.0585773,0.0693098,0.102929
312,0.312,0.0584941,0.069147,0.102677
313,0.313,0.0584113,0.0689853,0.102425
314,0.314,0.0583287,0.0688246,0.102175
315,0.315,0.0582464,0.0686648,0.101927
316,0.316,0.0581644,0.068506,0.10168
317,0.317,0.0580827,0.0683481,0.101434
318,0.318,0.0580012,0.0681912,0.101187
319,0.319,0.0579201,0.0680352,0.100942
320,0.32,0.0578391,0.0678802,0.100696
321,0.321,0.0577585,0.067726,0.100452
322,0.322,0.0576781,0.0675728,0.100207
323,0.323,0.057598,0.0674204,0.0999631
324,0.324,0.0575181,0.067269,0.0997195
325,0.325,0.0574385,0.0671184,0.0994763
326,0.326,0.057359,0.0669687,0.0992367
327,0.327,0.0572799,0.0668198,0.0989974
