problem,method,reconstruction,limiter,glm_ch_factor,glm_cd,glm_cr,glm_subcycles,glm_ch,glm_cp,glm_effective_cd,glm_effective_cr,nx,ny,ncell,tfinal,steps,status,total_wall_time_sec,initialization_time_sec,hydro_time_sec,cleaning_time_sec,diagnostics_compute_time_sec,diagnostics_write_time_sec,snapshot_write_time_sec,summary_write_time_sec,output_time_sec,total_cell_updates,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,projection_iterations_total,final_L2_fv,final_Linf_fv,final_L2_norm_fv,final_Linf_norm_fv,peak_L2_norm_fv,peak_Linf_norm_fv,time_integrated_L2_norm_fv,min_pressure,min_density,has_nonfinite,has_negative_density,has_negative_pressure,energy_drift,failure_reason,summary_file,diagnostic_file
divergence_advection,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,128,128,16384,0.05,37,finished,2.94291,0.00182453,2.49965,5.0646e-05,0.147475,8.1271e-05,0.0,0.000143286,0.000224557,606208,0.079538,205990.0,0,0,0.0701342,0.490334,0.000537672,0.003726,0.000537672,0.003726,2.682745e-05,0.975691,0.990668,0.0,0.0,0.0,3.71963e-15,,results/mhd_runner/summaries/perf_da_plm_n128_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_none_none.csv
divergence_advection,parabolic,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,128,128,16384,0.05,37,finished,2.93352,0.0156579,1.75279,0.837538,0.121529,0.000111269,0.0,0.000170679,0.000281948,606208,0.0792842,206649.0,184,0,0.0389186,0.200077,0.000300182,0.00153331,0.000535426,0.00372446,2.0890200000000002e-05,0.983538,0.992438,0.0,0.0,0.0,-2.07842e-06,,results/mhd_runner/summaries/perf_da_plm_n128_parabolic_parabolic_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_parabolic_parabolic.csv
divergence_advection,hyperbolic_glm,plm,mc,4.0,nan,nan,1,9.16682,nan,nan,nan,128,128,16384,0.05,37,finished,3.32423,0.00343824,1.75679,1.23582,0.116059,8.4137e-05,0.0,0.00010668,0.000190817,606208,0.0898441,182360.0,295,0,0.0386783,0.109299,0.000301093,0.000848584,0.000535426,0.00372446,2.0912975e-05,0.991104,0.986451,0.0,0.0,0.0,9.97537e-15,,results/mhd_runner/summaries/perf_da_plm_n128_hyperbolic_glm_hyperbolic_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_hyperbolic_glm_hyperbolic_glm.csv
divergence_advection,mixed_glm,plm,mc,4.0,nan,0.1,1,9.16682,0.957435,0.985853,0.1,128,128,16384,0.05,37,finished,2.82068,0.0056533,1.28875,1.24198,0.106554,7.6496e-05,0.0,0.000109093,0.000185589,606208,0.0762346,214915.0,295,0,0.00380675,0.0106596,2.97042e-05,8.3213e-05,0.000535426,0.00372446,1.4128255000000002e-05,0.994733,0.987809,0.0,0.0,0.0,1.3695e-14,,results/mhd_runner/summaries/perf_da_plm_n128_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_mixed_glm_mixed_glm.csv
divergence_advection,mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16682,0.957435,0.98609,0.1,128,128,16384,0.05,37,finished,3.70064,0.0105521,1.76974,1.60397,0.108724,9.1243e-05,0.0,0.00013023,0.000221473,606208,0.100017,163811.0,294,0,0.00381401,0.0106623,2.97602e-05,8.32346e-05,0.000535426,0.00372446,1.4129654999999998e-05,0.989034,0.99182,0.0,0.0,0.0,-4.05536e-06,,results/mhd_runner/summaries/perf_da_plm_n128_mixed_eglm_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_mixed_eglm_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16682,0.957435,0.98609,0.1,128,128,16384,0.05,37,finished,3.75951,0.0070264,1.7187,1.71188,0.110896,8.7763e-05,0.0,0.000128398,0.000216161,606208,0.101608,161247.0,294,0,0.00376743,0.0102986,2.93936e-05,8.04032e-05,0.000535426,0.00372446,1.412049e-05,0.989156,0.991929,0.0,0.0,0.0,-4.15611e-06,,results/mhd_runner/summaries/perf_da_plm_n128_gi_mixed_eglm_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_gi_mixed_eglm_gi_mixed_eglm.csv
divergence_advection,elliptic_projection,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,128,128,16384,0.05,37,finished,8.70654,0.0192958,1.43822,6.94153,0.111639,9.9024e-05,0.0,0.000149007,0.000248031,606208,0.235312,69626.8,37,18900,4.44337e-09,2.15106e-08,3.46617e-11,1.67863e-10,0.000535426,0.00372446,1.33856508665425e-05,0.987488,0.992271,0.0,0.0,0.0,-4.38144e-06,,results/mhd_runner/summaries/perf_da_plm_n128_elliptic_projection_elliptic_projection_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_elliptic_projection_elliptic_projection.csv
divergence_advection,powell_source,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,128,128,16384,0.05,37,finished,2.44727,0.0062976,1.8698,0.223984,0.123103,6.9726e-05,0.0,0.000130549,0.000200275,606208,0.0661424,247708.0,37,0,0.0665245,0.450149,0.00051047,0.00343039,0.000535426,0.00372446,2.61474e-05,0.98755,0.991668,0.0,0.0,0.0,-6.16219e-07,,results/mhd_runner/summaries/perf_da_plm_n128_powell_source_powell_source_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_powell_source_powell_source.csv
divergence_advection,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,256,256,65536,0.05,74,finished,11.2222,0.0129705,9.12587,0.00016093,0.855512,7.3261e-05,0.0,0.00013417,0.000207431,4849664,0.151652,432148.0,0,0,0.070111,0.48606,0.000268758,0.00184605,0.000268758,0.00184605,1.3412700000000001e-05,0.975698,0.990641,0.0,0.0,0.0,3.29694e-14,,results/mhd_runner/summaries/perf_da_plm_n256_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_none_none.csv
divergence_advection,parabolic,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,256,256,65536,0.05,74,finished,20.9784,0.00583317,8.43691,10.5224,0.827883,7.488e-05,0.0,0.000112913,0.000187793,4849664,0.283493,231174.0,662,0,0.0389253,0.199418,0.000150116,0.000764262,0.00026775,0.00184213,1.044665e-05,0.983548,0.992473,0.0,0.0,0.0,-2.07703e-06,,results/mhd_runner/summaries/perf_da_plm_n256_parabolic_parabolic_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_parabolic_parabolic.csv
divergence_advection,hyperbolic_glm,plm,mc,4.0,nan,nan,1,9.16683,nan,nan,nan,256,256,65536,0.05,74,finished,19.6605,0.00474429,8.56811,9.10256,0.827491,6.8615e-05,0.0,0.000121986,0.000190601,4849664,0.265682,246670.0,590,0,0.0456849,0.136162,0.000177763,0.000528144,0.00026775,0.00184213,1.1137825e-05,0.990069,0.986044,0.0,0.0,0.0,3.92252e-14,,results/mhd_runner/summaries/perf_da_plm_n256_hyperbolic_glm_hyperbolic_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_hyperbolic_glm_hyperbolic_glm.csv
divergence_advection,mixed_glm,plm,mc,4.0,nan,0.1,1,9.16683,0.957436,0.99257,0.1,256,256,65536,0.05,74,finished,20.198,0.0122657,8.71053,9.46513,0.83403,8.8818e-05,0.0,0.000116361,0.000205179,4849664,0.272946,240107.0,589,0,0.00429469,0.0124029,1.67563e-05,4.84081e-05,0.00026775,0.00184213,7.112657499999999e-06,0.995035,0.987447,0.0,0.0,0.0,4.90315e-14,,results/mhd_runner/summaries/perf_da_plm_n256_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_mixed_glm_mixed_glm.csv
divergence_advection,mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16683,0.957436,0.992841,0.1,256,256,65536,0.05,74,finished,22.7568,0.0135769,8.47477,12.2541,0.832637,0.000102656,0.0,0.000123071,0.000225727,4849664,0.307525,213108.0,587,0,0.00429817,0.0124052,1.67698e-05,4.84171e-05,0.00026775,0.00184213,7.112994999999999e-06,0.98782,0.991809,0.0,0.0,0.0,-4.19333e-06,,results/mhd_runner/summaries/perf_da_plm_n256_mixed_eglm_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_mixed_eglm_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16683,0.957436,0.992841,0.1,256,256,65536,0.05,74,finished,23.5367,0.0176316,8.47419,13.0543,0.829972,8.4495e-05,0.0,0.00013456,0.000219055,4849664,0.318064,206047.0,587,0,0.0042655,0.0121805,1.66415e-05,4.75434e-05,0.00026775,0.00184213,7.1097875e-06,0.987905,0.991871,0.0,0.0,0.0,-4.24743e-06,,results/mhd_runner/summaries/perf_da_plm_n256_gi_mixed_eglm_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_gi_mixed_eglm_gi_mixed_eglm.csv
divergence_advection,elliptic_projection,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,256,256,65536,0.05,74,finished,132.212,0.00819534,8.25223,122.018,0.790035,8.5151e-05,0.0,0.000109324,0.000194475,4849664,1.78665,36680.9,74,83993,1.62617e-08,8.50897e-08,6.34196e-11,3.32598e-10,0.00026775,0.00184213,6.6937515854899995e-06,0.98697,0.992056,0.0,0.0,0.0,-4.3793e-06,,results/mhd_runner/summaries/perf_da_plm_n256_elliptic_projection_elliptic_projection_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_elliptic_projection_elliptic_projection.csv
