step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
106,0.207031,0.00195312,0.0484475,0.0839094,0.331885,0.000374937,0.000647034,0.00253362
107,0.208984,0.00195312,0.0485713,0.0837236,0.329424,0.00037595,0.000645741,0.00251181
108,0.210938,0.00195312,0.0486978,0.0835385,0.326665,0.000376984,0.00064445,0.00249381
109,0.212891,0.00195312,0.0488171,0.0833544,0.324183,0.000377962,0.000643163,0.00247596
110,0.214844,0.00195312,0.0489205,0.0831714,0.321298,0.000378817,0.00064188,0.00245508
111,0.216797,0.00195312,0.0490344,0.0829897,0.318885,0.000379751,0.000640604,0.00243754
112,0.21875,0.00195312,0.0491456,0.0828095,0.316691,0.000380665,0.000639336,0.00241988
113,0.220703,0.00195312,0.0492481,0.0826309,0.314064,0.000381509,0.000638077,0.00240135
114,0.222656,0.00195312,0.049352,0.082454,0.311727,0.000382362,0.000636827,0.00238569
115,0.224609,0.00195312,0.049458,0.0822789,0.309393,0.000383232,0.000635587,0.00236676
116,0.226562,0.00195312,0.0495672,0.0821055,0.307065,0.000384123,0.000634358,0.00234953
117,0.228516,0.00195312,0.0496729,0.081934,0.304985,0.000384987,0.000633139,0.00233495
118,0.230469,0.00195312,0.0497723,0.0817644,0.302642,0.000385801,0.000631931,0.00231801
119,0.232422,0.00195312,0.0498835,0.0815966,0.300308,0.000386704,0.000630735,0.0023025
120,0.234375,0.00195312,0.0499929,0.0814306,0.298377,0.000387592,0.000629549,0.00228584
121,0.236328,0.00195312,0.0500937,0.0812663,0.296303,0.000388412,0.000628373,0.0022703
122,0.238281,0.00195312,0.0501985,0.0811038,0.294189,0.000389261,0.000627208,0.0022562
123,0.240234,0.00195312,0.05031,0.080943,0.292127,0.000390162,0.000626053,0.00224132
124,0.242188,0.00195312,0.0504138,0.0807838,0.290086,0.000391001,0.000624907,0.00222539
125,0.244141,0.00195312,0.050517,0.080626,0.288157,0.000391835,0.000623771,0.00221095
126,0.246094,0.00195312,0.0506195,0.0804698,0.286338,0.000392663,0.000622642,0.00219752
