step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
101,0.197266,0.00195312,0.0416025,0.150561,1.06619,0.000313547,0.00112446,0.00782702
102,0.199219,0.00195312,0.0416218,0.150678,1.06688,0.000313688,0.00112532,0.00784766
103,0.201172,0.00195312,0.0416489,0.150796,1.06692,0.000313884,0.00112617,0.00785172
104,0.203125,0.00195312,0.0416625,0.150914,1.06678,0.000313984,0.00112702,0.0078535
105,0.205078,0.00195312,0.0416898,0.151032,1.07043,0.000314182,0.00112788,0.00785273
106,0.207031,0.00195312,0.0417127,0.15115,1.07291,0.000314349,0.00112874,0.00787918
107,0.208984,0.00195312,0.0417277,0.151268,1.07306,0.000314459,0.0011296,0.00789604
108,0.210938,0.00195312,0.0417569,0.151387,1.0733,0.00031467,0.00113046,0.0078962
109,0.212891,0.00195312,0.0417747,0.151506,1.07623,0.0003148,0.00113132,0.00789998
110,0.214844,0.00195312,0.0417964,0.151625,1.0768,0.000314957,0.00113219,0.00792004
111,0.216797,0.00195312,0.0418226,0.151744,1.07701,0.000315148,0.00113305,0.00792323
112,0.21875,0.00195312,0.0418357,0.151864,1.07685,0.000315245,0.00113392,0.00792616
113,0.220703,0.00195312,0.0418649,0.151983,1.08069,0.000315455,0.00113479,0.00792534
114,0.222656,0.00195312,0.0418866,0.152103,1.08308,0.000315614,0.00113566,0.0079531
115,0.224609,0.00195312,0.0419035,0.152224,1.0831,0.000315737,0.00113653,0.00796931
116,0.226562,0.00195312,0.0419323,0.152344,1.08361,0.000315946,0.0011374,0.00796851
117,0.228516,0.00195312,0.0419489,0.152465,1.08646,0.000316067,0.00113828,0.00797426
118,0.230469,0.00195312,0.0419729,0.152585,1.08691,0.000316241,0.00113916,0.00799373
119,0.232422,0.00195312,0.0419982,0.152707,1.08727,0.000316425,0.00114003,0.00799602
120,0.234375,0.00195312,0.0420122,0.152828,1.08711,0.000316528,0.00114091,0.00800015
121,0.236328,0.00195312,0.0420419,0.152949,1.09113,0.000316743,0.0011418,0.00799927
122,0.238281,0.00195312,0.0420625,0.153071,1.09343,0.000316893,0.00114268,0.00802837
123,0.240234,0.00195312,0.0420815,0.153193,1.09332,0.000317031,0.00114356,0.0080439
124,0.242188,0.00195312,0.0421096,0.153315,1.0941,0.000317235,0.00114445,0.00804213
125,0.244141,0.00195312,0.042125,0.153438,1.09687,0.000317348,0.00114534,0.00804989
126,0.246094,0.00195312,0.0421515,0.15356,1.0972,0.00031754,0.00114623,0.00806875
127,0.248047,0.00195312,0.0421759,0.153683,1.09773,0.000317717,0.00114712,0.00807013
128,0.25,0.00195312,0.0421912,0.153806,1.09756,0.000317829,0.00114801,0.0080755
129,0.251953,0.00195312,0.0422209,0.153929,1.10177,0.000318044,0.0011489,0.00807454
130,0.253906,0.00195312,0.0422404,0.154053,1.10398,0.000318187,0.0011498,0.00810502
131,0.255859,0.00195312,0.0422616,0.154177,1.10373,0.00031834,0.0011507,0.00811987
132,0.257812,0.00195312,0.042289,0.154301,1.10479,0.000318539,0.0011516,0.0081171
133,0.259766,0.00195312,0.0423033,0.154425,1.10748,0.000318644,0.0011525,0.00812691
134,0.261719,0.00195312,0.0423323,0.154549,1.10768,0.000318853,0.0011534,0.00814516
135,0.263672,0.00195312,0.0423555,0.154674,1.10838,0.000319023,0.00115431,0.0081456
136,0.265625,0.00195312,0.0423724,0.154799,1.1082,0.000319146,0.00115521,0.00815225
137,0.267578,0.00195312,0.042402,0.154924,1.1126,0.000319361,0.00115612,0.00815119
138,0.269531,0.00195312,0.0424202,0.15505,1.11472,0.000319494,0.00115703,0.0081831
139,0.271484,0.00195312,0.0424438,0.155175,1.11433,0.000319664,0.00115794,0.00819726
140,0.273438,0.00195312,0.0424704,0.155301,1.11568,0.000319858,0.00115885,0.00819346
141,0.275391,0.00195312,0.0424851,0.155427,1.11828,0.000319965,0.00115976,0.00820536
142,0.277344,0.00195312,0.042515,0.155553,1.11835,0.000320182,0.00116068,0.00822298
143,0.279297,0.00195312,0.0425372,0.15568,1.11923,0.000320343,0.0011616,0.00822246
144,0.28125,0.00195312,0.0425561,0.155807,1.11903,0.000320481,0.00116252,0.00823044
145,0.283203,0.00195312,0.0425852,0.155934,1.12364,0.000320692,0.00116344,0.00823059
146,0.285156,0.00195312,0.0426022,0.156061,1.12566,0.000320816,0.00116436,0.00826265
147,0.287109,0.00195312,0.0426283,0.156189,1.12513,0.000321005,0.00116529,0.00827609
148,0.289062,0.00195312,0.0426539,0.156316,1.12677,0.000321191,0.00116621,0.00827125
149,0.291016,0.00195312,0.0426696,0.156444,1.12929,0.000321306,0.00116714,0.00828528
150,0.292969,0.00195312,0.0427,0.156573,1.12922,0.000321525,0.00116807,0.00830226
151,0.294922,0.00195312,0.0427209,0.156701,1.13029,0.000321678,0.001169,0.00830104
152,0.296875,0.00195312,0.0427421,0.15683,1.13031,0.000321832,0.00116993,0.00831011
153,0.298828,0.00195312,0.0427705,0.156959,1.13489,0.000322038,0.00117087,0.00831202
154,0.300781,0.00195312,0.0427861,0.157088,1.13682,0.000322153,0.0011718,0.0083437
155,0.302734,0.00195312,0.042815,0.157218,1.13614,0.000322361,0.00117274,0.00835641
156,0.304688,0.00195312,0.0428395,0.157347,1.13807,0.000322539,0.00117368,0.0083505
157,0.306641,0.00195312,0.0428568,0.157477,1.1405,0.000322666,0.00117462,0.00836672
158,0.308594,0.00195312,0.0428871,0.157607,1.1403,0.000322884,0.00117557,0.00838303
159,0.310547,0.00195312,0.0429068,0.157738,1.14156,0.000323028,0.00117651,0.00838306
160,0.3125,0.00195312,0.0429303,0.157869,1.14182,0.000323198,0.00117746,0.00839131
161,0.314453,0.00195312,0.042958,0.158,1.14636,0.000323399,0.00117841,0.00839501
162,0.316406,0.00195312,0.0429735,0.158131,1.14818,0.000323513,0.00117936,0.00842631
163,0.318359,0.00195312,0.0430038,0.158262,1.14735,0.000323732,0.00118031,0.00843827
164,0.320312,0.00195312,0.0430272,0.158394,1.14959,0.000323902,0.00118127,0.00843127
165,0.322266,0.00195312,0.0430463,0.158526,1.15193,0.000324041,0.00118222,0.0084497
166,0.324219,0.00195312,0.0430764,0.158658,1.15185,0.000324259,0.00118318,0.00846535
167,0.326172,0.00195312,0.0430947,0.158791,1.15305,0.000324393,0.00118414,0.00846666
168,0.328125,0.00195312,0.0431208,0.158923,1.15356,0.000324581,0.0011851,0.00847408
169,0.330078,0.00195312,0.0431476,0.159056,1.15805,0.000324776,0.00118607,0.0084796
170,0.332031,0.00195312,0.043164,0.159189,1.15977,0.000324896,0.00118703,0.00851051
171,0.333984,0.00195312,0.0431949,0.159323,1.15879,0.000325119,0.001188,0.00852171
172,0.335938,0.00195312,0.0432171,0.159457,1.16133,0.000325281,0.00118897,0.00851359
173,0.337891,0.00195312,0.0432385,0.159591,1.16358,0.000325436,0.00118994,0.00853429
174,0.339844,0.00195312,0.0432679,0.159725,1.16368,0.000325649,0.00119091,0.00854926
175,0.341797,0.00195312,0.0432848,0.15986,1.16476,0.000325773,0.00119188,0.0085519
176,0.34375,0.00195312,0.0433137,0.159994,1.16553,0.000325981,0.00119286,0.00855846
177,0.345703,0.00195312,0.0433394,0.160129,1.16996,0.000326169,0.00119384,0.00856582
178,0.347656,0.00195312,0.0433573,0.160265,1.17158,0.000326299,0.00119482,0.00859634
179,0.349609,0.00195312,0.0433882,0.1604,1.17044,0.000326522,0.0011958,0.00860678
180,0.351562,0.00195312,0.0434092,0.160536,1.1733,0.000326675,0.00119678,0.00859751
181,0.353516,0.00195312,0.043433,0.160672,1.17546,0.000326848,0.00119777,0.00862052
182,0.355469,0.00195312,0.0434616,0.160809,1.17575,0.000327055,0.00119876,0.0086348
183,0.357422,0.00195312,0.0434781,0.160945,1.17671,0.000327176,0.00119975,0.00863881
184,0.359375,0.00195312,0.0435088,0.161082,1.17773,0.000327397,0.00120074,0.00864451
185,0.361328,0.00195312,0.0435335,0.161219,1.18211,0.000327577,0.00120173,0.00865374
186,0.363281,0.00195312,0.0435532,0.161357,1.18362,0.00032772,0.00120273,0.00868387
187,0.365234,0.00195312,0.0435839,0.161494,1.18233,0.000327942,0.00120372,0.00869352
188,0.367188,0.00195312,0.0436035,0.161632,1.18551,0.000328085,0.00120472,0.00868308
189,0.369141,0.00195312,0.0436298,0.161771,1.18757,0.000328275,0.00120572,0.00870844
