step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
57,0.0108696,0.000190694,0.0365415,0.119066,0.756396,0.000276935,0.000894956,0.00558903,0.0365931,0.11935,0.772994,0.000277312,0.00089699,0.00571094
58,0.0110603,0.000190694,0.0364943,0.118758,0.753532,0.000276593,0.000892704,0.00556789,0.0365456,0.119041,0.770034,0.000276968,0.000894726,0.00568909
59,0.011251,0.000190694,0.0364472,0.118452,0.750683,0.000276253,0.000890464,0.00554686,0.0364983,0.118733,0.76709,0.000276626,0.000892473,0.00566736
60,0.0114416,0.000190694,0.0364003,0.118148,0.747851,0.000275914,0.000888234,0.00552643,0.0364511,0.118427,0.764162,0.000276285,0.000890231,0.00564574
61,0.0116323,0.000190694,0.0363536,0.117845,0.745034,0.000275576,0.000886016,0.00550677,0.0364042,0.118122,0.76125,0.000275946,0.000888001,0.00562425
62,0.011823,0.000190694,0.0363071,0.117544,0.742233,0.000275239,0.00088381,0.00548722,0.0363574,0.117819,0.758355,0.000275607,0.000885782,0.00560287
63,0.0120137,0.000190694,0.0362607,0.117244,0.739448,0.000274904,0.000881614,0.00546778,0.0363108,0.117518,0.755475,0.00027527,0.000883574,0.00558161
64,0.0122044,0.000190694,0.0362146,0.116946,0.736679,0.00027457,0.000879429,0.00544843,0.0362644,0.117218,0.752611,0.000274935,0.000881378,0.00556047
65,0.0123951,0.000190694,0.0361686,0.116649,0.733925,0.000274237,0.000877255,0.00542919,0.0362182,0.116919,0.749762,0.0002746,0.000879192,0.00553944
66,0.0125858,0.000190694,0.0361228,0.116354,0.731187,0.000273906,0.000875092,0.00541004,0.0361721,0.116622,0.746929,0.000274267,0.000877017,0.00551853
67,0.0127765,0.000190694,0.0360771,0.11606,0.728464,0.000273575,0.00087294,0.005391,0.0361262,0.116327,0.744112,0.000273935,0.000874853,0.00549774
68,0.0129672,0.000190694,0.0360317,0.115768,0.725756,0.000273246,0.000870798,0.00537205,0.0360805,0.116033,0.741309,0.000273604,0.0008727,0.00547705
69,0.0131579,0.000190694,0.0359864,0.115477,0.723063,0.000272918,0.000868667,0.0053532,0.036035,0.115741,0.738522,0.000273274,0.000870557,0.00545649
70,0.0133486,0.000190694,0.0359412,0.115188,0.720385,0.000272592,0.000866547,0.00533445,0.0359896,0.11545,0.73575,0.000272946,0.000868425,0.00543603
71,0.0135393,0.000190694,0.0358963,0.1149,0.717722,0.000272266,0.000864437,0.0053158,0.0359444,0.11516,0.732993,0.000272618,0.000866303,0.00541568
72,0.01373,0.000190694,0.0358515,0.114614,0.715073,0.000271942,0.000862337,0.00529724,0.0358994,0.114872,0.730251,0.000272292,0.000864192,0.00539545
