step,time,L1,L2,Linf
226,0.441406,0.0110713,0.014483,0.0388562
227,0.443359,0.0110323,0.0144173,0.0386732
228,0.445312,0.0109935,0.014352,0.0384915
229,0.447266,0.0109547,0.0142872,0.0383113
230,0.449219,0.010916,0.0142227,0.0381325
231,0.451172,0.0108774,0.0141586,0.0379551
232,0.453125,0.0108389,0.0140949,0.037779
233,0.455078,0.0108005,0.0140316,0.0376042
234,0.457031,0.0107623,0.0139687,0.0374308
235,0.458984,0.0107241,0.0139061,0.0372587
236,0.460938,0.010686,0.013844,0.0370879
237,0.462891,0.0106481,0.0137822,0.0369184
238,0.464844,0.0106102,0.0137208,0.0367502
239,0.466797,0.0105725,0.0136597,0.0365833
240,0.46875,0.0105349,0.0135991,0.0364176
241,0.470703,0.0104974,0.0135387,0.0362531
242,0.472656,0.01046,0.0134788,0.0360899
243,0.474609,0.0104228,0.0134192,0.0359279
244,0.476562,0.0103856,0.01336,0.0357671
245,0.478516,0.0103486,0.0133011,0.0356074
246,0.480469,0.0103117,0.0132425,0.0354489
247,0.482422,0.0102749,0.0131843,0.0352916
248,0.484375,0.0102382,0.0131264,0.0351354
249,0.486328,0.0102017,0.0130689,0.0349804
250,0.488281,0.0101653,0.0130117,0.0348265
251,0.490234,0.010129,0.0129549,0.0346736
252,0.492188,0.0100928,0.0128984,0.0345219
253,0.494141,0.0100568,0.0128422,0.0343712
254,0.496094,0.0100209,0.0127863,0.0342216
255,0.498047,0.00998506,0.0127307,0.034073
256,0.5,0.0099494,0.0126755,0.033926
