step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
112,0.21875,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
113,0.220703,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
114,0.222656,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
115,0.224609,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
116,0.226562,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
117,0.228516,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
118,0.230469,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
119,0.232422,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
120,0.234375,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
121,0.236328,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
122,0.238281,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
123,0.240234,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
124,0.242188,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
125,0.244141,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
126,0.246094,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
127,0.248047,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
128,0.25,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
129,0.251953,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
130,0.253906,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
131,0.255859,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
132,0.257812,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
133,0.259766,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
134,0.261719,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
135,0.263672,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
136,0.265625,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
137,0.267578,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
