step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
102,0.199219,0.00195312,0.0189104,0.0337274,0.107674,0.00014647,0.000260867,0.000829137
103,0.201172,0.00195312,0.0188352,0.033427,0.106053,0.000145895,0.000258558,0.000816704
104,0.203125,0.00195312,0.018761,0.0331321,0.104466,0.000145328,0.000256292,0.000804837
105,0.205078,0.00195312,0.0186879,0.0328427,0.10295,0.000144769,0.000254067,0.000793421
106,0.207031,0.00195312,0.0186158,0.0325587,0.101492,0.000144217,0.000251883,0.000782145
107,0.208984,0.00195312,0.0185446,0.0322797,0.100053,0.000143672,0.000249738,0.000771019
108,0.210938,0.00195312,0.0184743,0.0320059,0.0986352,0.000143135,0.000247631,0.000760054
109,0.212891,0.00195312,0.018405,0.0317369,0.0972387,0.000142604,0.000245562,0.000749257
110,0.214844,0.00195312,0.0183365,0.0314728,0.0958647,0.00014208,0.000243529,0.000738637
111,0.216797,0.00195312,0.0182689,0.0312133,0.0945144,0.000141562,0.000241532,0.000728228
112,0.21875,0.00195312,0.018202,0.0309584,0.0931884,0.00014105,0.00023957,0.000718361
113,0.220703,0.00195312,0.018136,0.030708,0.0918898,0.000140545,0.000237642,0.000708766
114,0.222656,0.00195312,0.0180707,0.0304619,0.0906692,0.000140044,0.000235747,0.000699321
115,0.224609,0.00195312,0.0180061,0.03022,0.0894686,0.00013955,0.000233885,0.000690032
116,0.226562,0.00195312,0.0179422,0.0299823,0.0882888,0.000139061,0.000232054,0.000680904
117,0.228516,0.00195312,0.017879,0.0297487,0.0871303,0.000138576,0.000230254,0.000671944
118,0.230469,0.00195312,0.0178165,0.0295189,0.0859937,0.000138097,0.000228484,0.000663154
119,0.232422,0.00195312,0.0177546,0.0292931,0.0848795,0.000137623,0.000226744,0.000654538
120,0.234375,0.00195312,0.0176933,0.0290709,0.0837881,0.000137153,0.000225032,0.0006461
121,0.236328,0.00195312,0.0176325,0.0288525,0.0827199,0.000136688,0.000223349,0.000637841
