step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
49,0.0478516,0.000976562,0.0334883,0.0998684,0.563275,0.000254873,0.000754771,0.00419711,0.0335313,0.100136,0.586661,0.000255186,0.000756705,0.00435935
50,0.0488281,0.000976562,0.0333174,0.0988758,0.554333,0.00025363,0.000747493,0.00413026,0.03336,0.0991409,0.577223,0.00025394,0.000749409,0.00429235
51,0.0498047,0.000976562,0.0331467,0.0978906,0.545419,0.000252387,0.000740266,0.00406363,0.0331888,0.0981532,0.567915,0.000252694,0.000742166,0.00422557
52,0.0507812,0.000976562,0.032976,0.096913,0.536537,0.000251145,0.000733094,0.00399813,0.0330177,0.0971733,0.558984,0.000251449,0.000734978,0.00415905
53,0.0517578,0.000976562,0.0328056,0.0959436,0.527692,0.000249904,0.000725979,0.0039347,0.0328469,0.0962016,0.55009,0.000250205,0.000727848,0.00409281
54,0.0527344,0.000976562,0.0326355,0.0949827,0.518887,0.000248664,0.000718925,0.0038727,0.0326764,0.0952385,0.541238,0.000248963,0.000720779,0.00403164
55,0.0537109,0.000976562,0.0324658,0.0940307,0.510128,0.000247427,0.000711935,0.00381327,0.0325062,0.0942844,0.532431,0.000247722,0.000713774,0.00397157
56,0.0546875,0.000976562,0.0322964,0.0930879,0.502049,0.000246192,0.00070501,0.00375408,0.0323365,0.0933395,0.52392,0.000246485,0.000706834,0.00391174
57,0.0556641,0.000976562,0.0321276,0.0921546,0.494205,0.00024496,0.000698152,0.00369514,0.0321673,0.0924042,0.515967,0.00024525,0.000699964,0.00385217
58,0.0566406,0.000976562,0.0319593,0.091231,0.486397,0.000243732,0.000691365,0.00363815,0.0319987,0.0914787,0.50805,0.00024402,0.000693163,0.0037929
59,0.0576172,0.000976562,0.0317916,0.0903175,0.478628,0.000242508,0.000684649,0.00358221,0.0318307,0.0905633,0.500174,0.000242793,0.000686435,0.00373394
60,0.0585938,0.000976562,0.0316246,0.0894143,0.470901,0.000241287,0.000678007,0.00352654,0.0316633,0.0896583,0.492342,0.00024157,0.00067978,0.00367532
61,0.0595703,0.000976562,0.0314583,0.0885214,0.463404,0.000240072,0.000671439,0.00347116,0.0314967,0.0887637,0.484556,0.000240352,0.0006732,0.00361706
62,0.0605469,0.000976562,0.0312927,0.0876392,0.456085,0.000238861,0.000664947,0.0034161,0.0313308,0.0878798,0.476821,0.00023914,0.000666697,0.00355928
63,0.0615234,0.000976562,0.031128,0.0867677,0.448809,0.000237656,0.000658532,0.00336137,0.0311658,0.0870068,0.469137,0.000237932,0.000660272,0.0035072
64,0.0625,0.000976562,0.0309641,0.0859072,0.441578,0.000236457,0.000652196,0.00331245,0.0310016,0.0861447,0.461509,0.000236731,0.000653925,0.0034554
65,0.0634766,0.000976562,0.0308011,0.0850576,0.434567,0.000235264,0.000645938,0.00326397,0.0308383,0.0852937,0.454546,0.000235536,0.000647658,0.00340389
