step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
73,0.0712891,0.000976562,0.0251228,0.0630131,0.295178,0.000193536,0.000484171,0.00224875,0.0251913,0.063264,0.307004,0.000194046,0.000486036,0.00233924
74,0.0722656,0.000976562,0.0250737,0.0625354,0.291874,0.000193173,0.000480596,0.00222375,0.025146,0.062789,0.303669,0.000193713,0.000482482,0.00231321
75,0.0732422,0.000976562,0.025055,0.0621116,0.288625,0.000193038,0.000477414,0.00220067,0.0251215,0.062368,0.300211,0.000193535,0.000479321,0.00228633
76,0.0742188,0.000976562,0.0250575,0.0617415,0.285563,0.000193062,0.000474623,0.00217807,0.025125,0.0620008,0.297059,0.000193567,0.000476553,0.00226407
77,0.0751953,0.000976562,0.0250768,0.0614247,0.282948,0.000193212,0.000472221,0.00215892,0.0251519,0.0616869,0.294163,0.000193775,0.000474174,0.00224406
78,0.0761719,0.000976562,0.0251246,0.0611606,0.280405,0.000193575,0.000470205,0.00213887,0.0251919,0.0614257,0.291498,0.00019408,0.00047218,0.00222312
79,0.0771484,0.000976562,0.0251848,0.0609483,0.277739,0.000194032,0.000468568,0.00212025,0.0252598,0.0612164,0.288711,0.000194596,0.000470567,0.00220126
80,0.078125,0.000976562,0.0252649,0.0607869,0.275322,0.000194639,0.000467305,0.00210161,0.0253425,0.061058,0.2858,0.000195223,0.000469326,0.00218158
81,0.0791016,0.000976562,0.0253635,0.0606752,0.272841,0.000195386,0.000466405,0.00208205,0.0254397,0.0609491,0.283245,0.00019596,0.00046845,0.00216292
82,0.0800781,0.000976562,0.0254776,0.0606116,0.270568,0.00019625,0.000465861,0.00206691,0.0255526,0.0608884,0.281034,0.000196815,0.000467928,0.00214581
83,0.0810547,0.000976562,0.0256,0.0605948,0.268564,0.000197177,0.000465661,0.00205099,0.025682,0.0608744,0.278843,0.000197796,0.000467751,0.0021285
84,0.0820312,0.000976562,0.0257376,0.0606229,0.266438,0.00019822,0.000465794,0.00203648,0.0258241,0.0609053,0.276529,0.000198873,0.000467905,0.00211154
85,0.0830078,0.000976562,0.0258957,0.0606942,0.264554,0.000199418,0.000466246,0.00202161,0.0259769,0.0609792,0.27432,0.000200031,0.000468378,0.00209686
