step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
58,0.0566406,0.000976562,0.0320353,0.0915173,0.490429,0.000244284,0.000693473,0.00366803,0.0320738,0.0917659,0.511735,0.000244565,0.000695275,0.00381773
59,0.0576172,0.000976562,0.031871,0.090614,0.482523,0.000243085,0.000686833,0.00361114,0.0319092,0.0908608,0.503725,0.000243363,0.000688623,0.00375775
60,0.0585938,0.000976562,0.0317073,0.0897209,0.474819,0.00024189,0.000680266,0.00355445,0.0317452,0.0899659,0.495751,0.000242166,0.000682044,0.00369881
61,0.0595703,0.000976562,0.0315445,0.0888382,0.467319,0.0002407,0.000673774,0.00349929,0.0315821,0.0890816,0.487818,0.000240974,0.00067554,0.0036453
62,0.0605469,0.000976562,0.0313824,0.0879661,0.459852,0.000239515,0.000667357,0.00344734,0.0314197,0.0882079,0.479928,0.000239787,0.000669113,0.00359197
63,0.0615234,0.000976562,0.0312212,0.0871047,0.452872,0.000238336,0.000661017,0.00339747,0.0312582,0.087345,0.472851,0.000238606,0.000662763,0.00353883
64,0.0625,0.000976562,0.0310609,0.0862542,0.445983,0.000237163,0.000654755,0.00334774,0.0310976,0.086493,0.465817,0.000237432,0.000656491,0.00348591
65,0.0634766,0.000976562,0.0309015,0.0854145,0.439243,0.000235997,0.000648572,0.00329818,0.030938,0.085652,0.458812,0.000236263,0.000650299,0.00343323
66,0.0644531,0.000976562,0.030743,0.0845859,0.432711,0.000234837,0.000642467,0.00324879,0.0307793,0.0848221,0.451839,0.000235102,0.000644186,0.00338205
67,0.0654297,0.000976562,0.0305856,0.0837684,0.426203,0.000233684,0.000636443,0.0031996,0.0306217,0.0840033,0.444902,0.000233947,0.000638153,0.00333295
68,0.0664062,0.000976562,0.0304293,0.082962,0.419722,0.000232539,0.000630498,0.00315064,0.0304651,0.0831957,0.438003,0.0002328,0.0006322,0.00328408
69,0.0673828,0.000976562,0.030274,0.0821667,0.41327,0.0002314,0.000624633,0.00310726,0.0303096,0.0823993,0.431431,0.00023166,0.000626328,0.00323544
70,0.0683594,0.000976562,0.0301198,0.0813826,0.406944,0.000230269,0.000618849,0.00306446,0.0301552,0.0816142,0.425008,0.000230528,0.000620536,0.00318955
71,0.0693359,0.000976562,0.0299667,0.0806097,0.401321,0.000229146,0.000613145,0.00302176,0.0300019,0.0808402,0.418721,0.000229404,0.000614826,0.00314659
72,0.0703125,0.000976562,0.0298148,0.0798479,0.395712,0.000228032,0.000607521,0.00297919,0.0298499,0.0800774,0.412701,0.000228288,0.000609196,0.00310377
73,0.0712891,0.000976562,0.0296641,0.0790971,0.39012,0.000226925,0.000601977,0.00293676,0.0296991,0.0793258,0.407062,0.000227181,0.000603646,0.00306108
74,0.0722656,0.000976562,0.0295145,0.0783574,0.384546,0.000225826,0.000596512,0.00289449,0.0295496,0.0785853,0.401442,0.000226083,0.000598176,0.00301857
75,0.0732422,0.000976562,0.0293662,0.0776287,0.378993,0.000224737,0.000591127,0.00285367,0.0294013,0.0778558,0.395843,0.000224993,0.000592786,0.00297622
76,0.0742188,0.000976562,0.0292192,0.076911,0.373463,0.000223655,0.000585821,0.00281709,0.0292544,0.0771373,0.390269,0.000223913,0.000587474,0.00293408
77,0.0751953,0.000976562,0.0290733,0.0762041,0.368329,0.000222583,0.000580593,0.00278055,0.0291087,0.0764297,0.38472,0.000222842,0.000582242,0.00289397
78,0.0761719,0.000976562,0.0289288,0.0755079,0.36354,0.00022152,0.000575442,0.00274408,0.0289643,0.0757328,0.379199,0.000221779,0.000577087,0.002857
79,0.0771484,0.000976562,0.0287856,0.0748224,0.35876,0.000220465,0.000570368,0.00270768,0.0288212,0.0750467,0.374093,0.000220726,0.00057201,0.00282012
80,0.078125,0.000976562,0.0286437,0.0741474,0.353989,0.00021942,0.00056537,0.00267137,0.0286794,0.0743712,0.369248,0.000219682,0.000567009,0.00278333
81,0.0791016,0.000976562,0.0285031,0.0734829,0.34923,0.000218384,0.000560448,0.00263518,0.028539,0.0737062,0.364416,0.000218647,0.000562083,0.00274666
82,0.0800781,0.000976562,0.0283638,0.0728286,0.344485,0.000217358,0.0005556,0.00260158,0.0283999,0.0730515,0.359599,0.000217622,0.000557232,0.00271022
83,0.0810547,0.000976562,0.0282258,0.0721846,0.339756,0.000216341,0.000550826,0.0025704,0.0282621,0.072407,0.3548,0.000216607,0.000552456,0.00267625
84,0.0820312,0.000976562,0.0280892,0.0715506,0.335578,0.000215333,0.000546124,0.00253922,0.0281257,0.0717727,0.350019,0.000215601,0.000547752,0.00264238
85,0.0830078,0.000976562,0.027954,0.0709265,0.331498,0.000214336,0.000541494,0.00250806,0.0279907,0.0711482,0.34542,0.000214605,0.00054312,0.00260859
86,0.0839844,0.000976562,0.0278201,0.0703122,0.32742,0.000213347,0.000536935,0.00247693,0.0278571,0.0705336,0.340988,0.000213618,0.000538558,0.00257551
87,0.0849609,0.000976562,0.0276876,0.0697076,0.323347,0.000212368,0.000532445,0.00244584,0.0277248,0.0699286,0.336711,0.000212642,0.000534067,0.00254466
88,0.0859375,0.000976562,0.0275564,0.0691123,0.319279,0.000211399,0.000528023,0.00241481,0.0275941,0.0693332,0.332555,0.000211676,0.000529644,0.00251514
89,0.0869141,0.000976562,0.0274266,0.0685264,0.315218,0.00021044,0.000523669,0.00238608,0.0274647,0.0687471,0.328408,0.00021072,0.000525289,0.00248565
90,0.0878906,0.000976562,0.0272982,0.0679497,0.311167,0.000209491,0.000519382,0.00235943,0.0273367,0.0681702,0.324525,0.000209773,0.000521001,0.00245619
91,0.0888672,0.000976562,0.0271711,0.067382,0.30761,0.000208551,0.000515159,0.00233274,0.0272101,0.0676023,0.320666,0.000208837,0.000516778,0.00242678
92,0.0898438,0.000976562,0.0270454,0.0668231,0.304123,0.000207621,0.000511001,0.00230604,0.0270849,0.0670433,0.316812,0.00020791,0.000512619,0.00239742
93,0.0908203,0.000976562,0.0269211,0.0662729,0.300633,0.000206701,0.000506905,0.00227932,0.026961,0.066493,0.312967,0.000206994,0.000508523,0.00236813
94,0.0917969,0.000976562,0.0267982,0.0657313,0.297141,0.00020579,0.000502872,0.00225261,0.0268385,0.0659513,0.309131,0.000206086,0.00050449,0.0023405
95,0.0927734,0.000976562,0.0266766,0.065198,0.29365,0.000204889,0.000498899,0.00222631,0.0267174,0.065418,0.305306,0.000205189,0.000500517,0.00231488
96,0.09375,0.000976562,0.0265564,0.0646729,0.290161,0.000203998,0.000494985,0.00220093,0.0265977,0.0648929,0.30185,0.000204302,0.000496603,0.00228925
97,0.0947266,0.000976562,0.0264375,0.0641559,0.286676,0.000203117,0.00049113,0.00217678,0.0264794,0.0643759,0.298497,0.000203426,0.000492749,0.00226362
98,0.0957031,0.000976562,0.02632,0.0636467,0.283423,0.000202245,0.000487332,0.00215383,0.0263625,0.0638667,0.295143,0.000202558,0.000488951,0.00223801
