x,rho,u,v,w,p,Bx,By,Bz
-3.8625000000e-01,1.0226393475e+00,3.3070523404e-03,8.5467234211e-03,0.0000000000e+00,1.0457607805e+00,7.9950118289e-01,9.9180128959e-01,0.0000000000e+00
-3.8375000000e-01,1.0227186028e+00,2.4485670308e-03,6.6911986704e-03,0.0000000000e+00,1.0459461217e+00,7.9969804777e-01,9.9173077667e-01,0.0000000000e+00
-3.8125000000e-01,1.0227758964e+00,1.5914926884e-03,4.8285485983e-03,0.0000000000e+00,1.0460807939e+00,7.9984586669e-01,9.9167516554e-01,0.0000000000e+00
-3.7875000000e-01,1.0228111140e+00,7.3650592708e-04,2.9604996215e-03,0.0000000000e+00,1.0461644821e+00,7.9994449375e-01,9.9163449437e-01,0.0000000000e+00
-3.7625000000e-01,1.0228241679e+00,-1.1571804896e-04,1.0887751623e-03,0.0000000000e+00,1.0461969532e+00,7.9999383162e-01,9.9160877586e-01,0.0000000000e+00
-3.7375000000e-01,1.0228150300e+00,-9.6451361842e-04,-7.8491356326e-04,0.0000000000e+00,1.0461780352e+00,7.9999383162e-01,9.9159800265e-01,0.0000000000e+00
-3.7125000000e-01,1.0227836515e+00,-1.8092172429e-03,-2.6588580595e-03,0.0000000000e+00,1.0461076870e+00,7.9994449375e-01,9.9160212409e-01,0.0000000000e+00
-3.6875000000e-01,1.0227300159e+00,-2.6491571029e-03,-4.5313397237e-03,0.0000000000e+00,1.0459859402e+00,7.9984586669e-01,9.9162106433e-01,0.0000000000e+00
-3.6625000000e-01,1.0226541488e+00,-3.4836615714e-03,-6.4006390073e-03,0.0000000000e+00,1.0458129065e+00,7.9969804777e-01,9.9165471869e-01,0.0000000000e+00
-3.6375000000e-01,1.0225561026e+00,-4.3120630715e-03,-8.2650377248e-03,0.0000000000e+00,1.0455887801e+00,7.9950118289e-01,9.9170295109e-01,0.0000000000e+00
-3.6125000000e-01,1.0224359553e+00,-5.1337010029e-03,-1.0122819104e-02,0.0000000000e+00,1.0453138341e+00,7.9925546631e-01,9.9176559250e-01,0.0000000000e+00
-3.5875000000e-01,1.0222938079e+00,-5.9479256357e-03,-1.1972267608e-02,0.0000000000e+00,1.0449884157e+00,7.9896114053e-01,9.9184243880e-01,0.0000000000e+00
-3.5625000000e-01,1.0221297815e+00,-6.7541029309e-03,-1.3811668525e-02,0.0000000000e+00,1.0446129395e+00,7.9861849602e-01,9.9193324825e-01,0.0000000000e+00
-3.5375000000e-01,1.0219440147e+00,-7.5516201344e-03,-1.5639307350e-02,0.0000000000e+00,1.0441878804e+00,7.9822787092e-01,9.9203773843e-01,0.0000000000e+00
-3.5125000000e-01,1.0217366595e+00,-8.3398918438e-03,-1.7453469065e-02,0.0000000000e+00,1.0437137656e+00,7.9778965074e-01,9.9215558299e-01,0.0000000000e+00
-3.4875000000e-01,1.0215078780e+00,-9.1183661096e-03,-1.9252437440e-02,0.0000000000e+00,1.0431911662e+00,7.9730426794e-01,9.9228640849e-01,0.0000000000e+00
-3.4625000000e-01,1.0212578388e+00,-9.8865300058e-03,-2.1034494539e-02,0.0000000000e+00,1.0426206896e+00,7.9677220154e-01,9.9242979173e-01,0.0000000000e+00
-3.4375000000e-01,1.0209867148e+00,-1.0643914026e-02,-2.2797920606e-02,0.0000000000e+00,1.0420029728e+00,7.9619397663e-01,9.9258525790e-01,0.0000000000e+00
-3.4125000000e-01,1.0206946814e+00,-1.1390094650e-02,-2.4540994552e-02,0.0000000000e+00,1.0413386781e+00,7.9557016383e-01,9.9275228011e-01,0.0000000000e+00
-3.3875000000e-01,1.0203819159e+00,-1.2124694491e-02,-2.6261995195e-02,0.0000000000e+00,1.0406284912e+00,7.9490137879e-01,9.9293028071e-01,0.0000000000e+00
-3.3625000000e-01,1.0200485993e+00,-1.2847379589e-02,-2.7959203396e-02,0.0000000000e+00,1.0398731223e+00,7.9418828150e-01,9.9311863452e-01,0.0000000000e+00
-3.3375000000e-01,1.0196949191e+00,-1.3557853668e-02,-2.9630905139e-02,0.0000000000e+00,1.0390733117e+00,7.9343157572e-01,9.9331667435e-01,0.0000000000e+00
-3.3125000000e-01,1.0193210738e+00,-1.4255849413e-02,-3.1275395537e-02,0.0000000000e+00,1.0382298369e+00,7.9263200822e-01,9.9352369848e-01,0.0000000000e+00
-3.2875000000e-01,1.0189272794e+00,-1.4941117211e-02,-3.2890983638e-02,0.0000000000e+00,1.0373435242e+00,7.9179036807e-01,9.9373898011e-01,0.0000000000e+00
-3.2625000000e-01,1.0185137764e+00,-1.5613412014e-02,-3.4475997823e-02,0.0000000000e+00,1.0364152613e+00,7.9090748587e-01,9.9396177797e-01,0.0000000000e+00
-3.2375000000e-01,1.0180808372e+00,-1.6272479277e-02,-3.6028791526e-02,0.0000000000e+00,1.0354460112e+00,7.8998423292e-01,9.9419134780e-01,0.0000000000e+00
-3.2125000000e-01,1.0176287736e+00,-1.6918041043e-02,-3.7547748946e-02,0.0000000000e+00,1.0344368254e+00,7.8902152037e-01,9.9442695366e-01,0.0000000000e+00
-3.1875000000e-01,1.0171579442e+00,-1.7549783271e-02,-3.9031290427e-02,0.0000000000e+00,1.0333888563e+00,7.8802029828e-01,9.9466787855e-01,0.0000000000e+00
-3.1625000000e-01,1.0166687588e+00,-1.8167345420e-02,-4.0477877214e-02,0.0000000000e+00,1.0323033653e+00,7.8698155475e-01,9.9491343348e-01,0.0000000000e+00
