x,rho,u,v,w,p,Bx,By,Bz
-3.7625000000e-01,9.9577764473e-01,-1.5745397342e-02,-1.0251545766e-02,0.0000000000e+00,1.0411110185e+00,7.3453469453e-01,9.8369870925e-01,0.0000000000e+00
-3.7375000000e-01,9.9554283151e-01,-1.5197214465e-02,-1.0201935253e-02,0.0000000000e+00,1.0409205131e+00,7.3409479702e-01,9.8326964474e-01,0.0000000000e+00
-3.7125000000e-01,9.9531345496e-01,-1.4634914112e-02,-1.0147124125e-02,0.0000000000e+00,1.0406897329e+00,7.3367236388e-01,9.8286133578e-01,0.0000000000e+00
-3.6875000000e-01,9.9509015138e-01,-1.4058198992e-02,-1.0087414557e-02,0.0000000000e+00,1.0404200216e+00,7.3326782205e-01,9.8247468262e-01,0.0000000000e+00
-3.6625000000e-01,9.9487375891e-01,-1.3466457363e-02,-1.0023171494e-02,0.0000000000e+00,1.0401131423e+00,7.3288158775e-01,9.8211074835e-01,0.0000000000e+00
-3.6375000000e-01,9.9466533682e-01,-1.2858683854e-02,-9.9548481028e-03,0.0000000000e+00,1.0397713637e+00,7.3251406977e-01,9.8177081359e-01,0.0000000000e+00
-3.6125000000e-01,9.9446621096e-01,-1.2233397527e-02,-9.8830137197e-03,0.0000000000e+00,1.0393975491e+00,7.3216567435e-01,9.8145643450e-01,0.0000000000e+00
-3.5875000000e-01,9.9427801693e-01,-1.1588564558e-02,-9.8083827841e-03,0.0000000000e+00,1.0389952379e+00,7.3183681214e-01,9.8116949915e-01,0.0000000000e+00
-3.5625000000e-01,9.9410273590e-01,-1.0921535428e-02,-9.7318425679e-03,0.0000000000e+00,1.0385687100e+00,7.3152790771e-01,9.8091227631e-01,0.0000000000e+00
-3.5375000000e-01,9.9394271649e-01,-1.0229008486e-02,-9.6544769127e-03,0.0000000000e+00,1.0381230177e+00,7.3123941207e-01,9.8068744890e-01,0.0000000000e+00
-3.5125000000e-01,9.9380067577e-01,-9.5070328463e-03,-9.5775826693e-03,0.0000000000e+00,1.0376639714e+00,7.3097181854e-01,9.8049812406e-01,0.0000000000e+00
-3.4875000000e-01,9.9367967247e-01,-8.7510631365e-03,-9.5026753067e-03,0.0000000000e+00,1.0371980635e+00,7.3072568229e-01,9.8034781183e-01,0.0000000000e+00
-3.4625000000e-01,9.9358304632e-01,-7.9560764637e-03,-9.4314804540e-03,0.0000000000e+00,1.0367323194e+00,7.3050164331e-01,9.8024036564e-01,0.0000000000e+00
-3.4375000000e-01,9.9351432014e-01,-7.1167577924e-03,-9.3659090836e-03,0.0000000000e+00,1.0362740688e+00,7.3030045241e-01,9.8017988021e-01,0.0000000000e+00
-3.4125000000e-01,9.9347706537e-01,-6.2277539983e-03,-9.3080155350e-03,0.0000000000e+00,1.0358306367e+00,7.3012299920e-01,9.8017054581e-01,0.0000000000e+00
-3.3875000000e-01,9.9347476720e-01,-5.2839895668e-03,-9.2599392115e-03,0.0000000000e+00,1.0354089652e+00,7.2997034043e-01,9.8021646200e-01,0.0000000000e+00
-3.3625000000e-01,9.9351097559e-01,-4.2810291328e-03,-9.2238326994e-03,0.0000000000e+00,1.0350151829e+00,7.2984372663e-01,9.8032141963e-01,0.0000000000e+00
-3.3375000000e-01,9.9358793718e-01,-3.2154647627e-03,-9.2017812800e-03,0.0000000000e+00,1.0346541487e+00,7.2974462421e-01,9.8048866522e-01,0.0000000000e+00
-3.3125000000e-01,9.9370757810e-01,-2.0852997406e-03,-9.1957194192e-03,0.0000000000e+00,1.0343290007e+00,7.2967473011e-01,9.8072066695e-01,0.0000000000e+00
-3.2875000000e-01,9.9387097931e-01,-8.9029832184e-04,-9.2073558992e-03,0.0000000000e+00,1.0340407364e+00,7.2963597564e-01,9.8101890809e-01,0.0000000000e+00
