step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
139,0.115049,0.000427466,6739,0,0.0437842,7.12042e-13,7.12042e-13,456.508
140,0.115473,0.000424549,6792,0,0.043758,7.10802e-13,7.10802e-13,456.408
141,0.115895,0.000422027,6852,0,0.0434933,7.09877e-13,7.09877e-13,456.06
142,0.116315,0.000420062,6908,0,0.0428837,7.08452e-13,7.08452e-13,455.443
143,0.116734,0.000418314,6961,0,0.0423906,7.06231e-13,7.06231e-13,459.666
144,0.11715,0.000416957,7012,0,0.0426684,7.03493e-13,7.03493e-13,459.867
145,0.117566,0.000415758,7057,0,0.0419186,7.00421e-13,7.00421e-13,459.386
146,0.117981,0.000414654,7108,0,0.0423906,6.95925e-13,6.95925e-13,459.628
147,0.118395,0.0004136,7143,0,0.0424687,6.91317e-13,6.91317e-13,457.901
148,0.118807,0.000412565,7191,0,0.0430835,6.86728e-13,6.86728e-13,455.808
149,0.119219,0.000411535,7236,0,0.0417057,6.82269e-13,6.82269e-13,459.155
150,0.119627,0.000408403,7299,0,0.0425883,6.78087e-13,6.78087e-13,462.503
151,0.120026,0.000399281,7340,0,0.0424123,6.74201e-13,6.74201e-13,465.707
152,0.120419,0.000392937,7377,0,0.0419355,6.7063e-13,6.7063e-13,468.559
153,0.120806,0.000387181,7413,0,0.0421961,6.67355e-13,6.67355e-13,471.151
154,0.121188,0.000381586,7477,0,0.0443888,6.64357e-13,6.64357e-13,473.735
155,0.121564,0.000375969,7518,0,0.04354,6.62581e-13,6.62581e-13,476.3
156,0.121935,0.000370715,7560,0,0.0425438,6.57826e-13,6.57826e-13,478.612
157,0.122301,0.000365916,7605,0,0.0435252,6.51756e-13,6.51756e-13,481.15
158,0.122662,0.000361706,7632,0,0.0424258,6.56456e-13,6.56456e-13,483.712
159,0.123022,0.000359896,7670,0,0.0424274,6.54032e-13,6.54032e-13,486.485
160,0.123382,0.00035961,7708,0,0.0421212,6.51627e-13,6.51627e-13,489.381
161,0.123738,0.000355732,7738,0,0.0410492,6.49332e-13,6.49332e-13,492.664
162,0.124089,0.000351724,7773,0,0.0415377,6.47168e-13,6.47168e-13,496.522
163,0.124438,0.00034839,7816,0,0.0418674,6.45021e-13,6.45021e-13,500.526
164,0.124783,0.000345509,7845,0,0.0410767,6.43004e-13,6.43004e-13,504.984
165,0.125126,0.000342955,7884,0,0.0416689,6.41394e-13,6.41394e-13,510.143
166,0.125468,0.000341771,7931,0,0.0428335,6.40247e-13,6.40247e-13,515.664
167,0.125809,0.000340765,7968,0,0.0432698,6.35677e-13,6.35677e-13,522.394
168,0.126144,0.000335225,8004,0,0.0428626,6.31014e-13,6.31014e-13,527.717
169,0.126479,0.000335285,8016,0,0.0409036,6.28072e-13,6.28072e-13,530.095
170,0.126816,0.000336417,8047,0,0.042097,6.26277e-13,6.26277e-13,528.661
171,0.127151,0.000335852,8099,0,0.042959,6.2278e-13,6.2278e-13,532.338
172,0.12749,0.000338944,8135,0,0.0418434,6.20874e-13,6.20874e-13,531.613
173,0.127832,0.000341226,8166,0,0.0424368,6.18635e-13,6.18635e-13,534.204
174,0.128174,0.000342658,8210,0,0.0424794,6.16488e-13,6.16488e-13,536.196
175,0.128517,0.000342408,8225,0,0.0416327,6.13306e-13,6.13306e-13,537.993
176,0.128856,0.000339146,8248,0,0.0421512,6.0781e-13,6.0781e-13,539.709
177,0.129179,0.000323319,8283,0,0.0421361,6.03314e-13,6.03314e-13,541.311
