step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
103,0.0265352,0.000105605,548,0,0.0914863,6.93963e-13,6.93963e-13,1727.07
104,0.0266393,0.000104134,550,0,0.0875288,6.85378e-13,6.85378e-13,1734.93
105,0.0267424,0.000103076,554,0,0.0940084,6.76792e-13,6.76792e-13,1730.27
106,0.0268449,0.000102441,560,0,0.0910327,6.6791e-13,6.6791e-13,1735.6
107,0.0269469,0.000102066,562,0,0.0886303,6.74423e-13,6.74423e-13,1741.52
108,0.0270489,0.000101973,577,0,0.0969688,6.69687e-13,6.69687e-13,1875.18
109,0.027152,0.000103058,582,0,0.0976904,6.65246e-13,6.65246e-13,1995.86
110,0.0272561,0.000104143,584,0,0.0853499,6.61101e-13,6.61101e-13,2208.76
111,0.0273612,0.000105092,590,0,0.0948777,6.5666e-13,6.5666e-13,2250.92
112,0.0274675,0.000106329,588,0,0.0887803,6.52811e-13,6.52811e-13,2342.62
113,0.0275751,0.000107624,590,0,0.0856038,6.48666e-13,6.48666e-13,2331.44
114,0.0276842,0.0001091,600,0,0.0903767,6.44225e-13,6.44225e-13,2368.7
115,0.0277947,0.000110478,601,0,0.0849306,6.39488e-13,6.39488e-13,2371.3
116,0.0279048,0.000110083,604,0,0.083971,6.32087e-13,6.32087e-13,2337.05
117,0.0280102,0.000105344,607,0,0.0803581,6.24093e-13,6.24093e-13,2314.72
118,0.0281135,0.000103354,607,0,0.0858303,6.16396e-13,6.16396e-13,2179.08
119,0.0282152,0.000101689,617,0,0.0968086,6.19949e-13,6.19949e-13,2183.41
120,0.0283143,9.91502e-05,621,0,0.0908882,6.15508e-13,6.15508e-13,2240.38
121,0.0284076,9.32305e-05,623,0,0.0904757,6.10771e-13,6.10771e-13,2292.95
122,0.028496,8.8429e-05,628,0,0.0907706,6.06626e-13,6.06626e-13,2332.51
123,0.0285811,8.50846e-05,631,0,0.0873908,6.02185e-13,6.02185e-13,2343.2
124,0.0286636,8.2498e-05,631,0,0.0842185,5.97744e-13,5.97744e-13,2357.3
125,0.0287442,8.06004e-05,639,0,0.0931512,5.93303e-13,5.93303e-13,2373.01
126,0.0288235,7.92822e-05,639,0,0.0901973,5.88862e-13,5.88862e-13,2388.08
127,0.0289019,7.84079e-05,645,0,0.0900519,5.84717e-13,5.84717e-13,2405.6
128,0.0289797,7.787e-05,647,0,0.0837297,5.80277e-13,5.80277e-13,2426.91
