step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
42,0.0573801,0.00131229,0.0357498,0.0487384,0.236065,0.00144457,0.00327751,0.139996,0.221049,3.09003e-18,-9.75094e-19,0,0.349257,0.189088,0.104233,0,0,0
43,0.0586903,0.00131011,0.0366077,0.0501573,0.24664,0.00148118,0.00333251,0.124042,0.221049,3.06732e-18,3.2219e-19,0,0.349257,0.187953,0.103243,0,0,0
44,0.0599984,0.00130813,0.0374651,0.0515994,0.259307,0.00151871,0.00342957,0.128864,0.221049,6.27503e-18,-1.3867e-18,0,0.349257,0.186816,0.102252,0,0,0
45,0.0613045,0.00130613,0.0383225,0.0530646,0.271441,0.00155832,0.00359947,0.146497,0.221049,2.31483e-17,-2.39583e-18,0,0.349257,0.185676,0.101263,0,0,0
46,0.0626089,0.00130436,0.0391815,0.0545511,0.282686,0.00160043,0.00389597,0.216509,0.221049,1.69592e-18,-7.25537e-19,0,0.349257,0.184534,0.100275,0,0,0
47,0.0639115,0.00130267,0.0400388,0.0560576,0.293306,0.0016413,0.00420356,0.274859,0.221049,-2.24882e-17,-4.36492e-18,0,0.349257,0.18339,0.0992886,0,0,0
48,0.0652125,0.00130096,0.0408922,0.0575832,0.303472,0.001675,0.00415274,0.237376,0.221049,-3.56267e-18,-7.15055e-19,0,0.349257,0.182246,0.0983048,0,0,0
49,0.0665116,0.00129908,0.0417434,0.059127,0.313174,0.00170714,0.00406546,0.177922,0.221049,-3.49746e-17,1.89201e-18,0,0.349257,0.181102,0.0973242,0,0,0
50,0.0678089,0.0012973,0.0425965,0.0606868,0.322871,0.00174157,0.00407979,0.155069,0.221049,9.3153e-18,1.52032e-18,0,0.349257,0.179958,0.096347,0,0,0
51,0.0691046,0.00129574,0.0434475,0.0622609,0.332851,0.00177847,0.00417756,0.158833,0.221049,4.64232e-18,-3.88598e-18,0,0.349257,0.178815,0.0953737,0,0,0
52,0.0703988,0.00129416,0.044294,0.0638483,0.341898,0.00181762,0.00440771,0.20039,0.221049,-9.92611e-18,1.93616e-18,0,0.349257,0.177673,0.0944047,0,0,0
53,0.0716916,0.00129278,0.0451374,0.0654472,0.351367,0.00186261,0.00507443,0.36273,0.221049,3.53393e-18,-2.16793e-18,0,0.349257,0.176532,0.0934401,0,0,0
54,0.0729831,0.00129154,0.0459742,0.0670548,0.361564,0.0019097,0.00625029,0.580119,0.221049,2.04845e-17,-2.41637e-18,0,0.349257,0.175393,0.0924804,0,0,0
55,0.0742734,0.00129026,0.0468069,0.0686692,0.374105,0.0019292,0.00520147,0.355431,0.221049,-1.1056e-17,-6.40357e-19,0,0.349257,0.174257,0.0915259,0,0,0
56,0.0755622,0.00128887,0.0476349,0.0702898,0.385942,0.00195564,0.00481307,0.222514,0.221049,-5.23403e-18,-1.56855e-18,0,0.349257,0.173123,0.090577,0,0,0
57,0.0768497,0.00128744,0.0484565,0.0719153,0.397414,0.00198586,0.00475456,0.177846,0.221049,-9.96598e-18,1.76045e-18,0,0.349257,0.171993,0.089634,0,0,0
58,0.0781359,0.00128622,0.0492736,0.0735436,0.408016,0.00201802,0.0048152,0.180531,0.221049,-1.9057e-17,-6.30722e-19,0,0.349257,0.170865,0.088697,0,0,0
59,0.079421,0.00128515,0.0500868,0.0751728,0.41724,0.00205257,0.00499816,0.193225,0.221049,9.42202e-18,1.21115e-18,0,0.349257,0.169739,0.0877631,0,0,0
60,0.0807051,0.0012841,0.0508929,0.0768026,0.425328,0.00209434,0.00560171,0.359669,0.221049,-1.77195e-17,-2.41309e-18,0,0.349257,0.168612,0.0868318,0,0,0
61,0.0819884,0.00128327,0.0516965,0.0784332,0.432676,0.00220942,0.0136036,1.61807,0.221049,-5.92452e-18,-1.21168e-18,0,0.349257,0.167488,0.085907,0,0,0
62,0.0832709,0.0012825,0.0524963,0.0800634,0.440456,0.00218081,0.00735657,0.684361,0.221049,1.90226e-17,-2.2827e-18,0,0.349257,0.166369,0.0849887,0,0,0
63,0.0845524,0.00128152,0.053288,0.0816924,0.44852,0.0021853,0.00561228,0.301216,0.221049,1.4368e-17,3.93076e-19,0,0.349257,0.165254,0.0840774,0,0,0
64,0.0858331,0.00128064,0.0540677,0.0833204,0.455759,0.00220728,0.00537986,0.19759,0.221049,-8.89512e-18,-6.03723e-18,0,0.349257,0.164143,0.0831731,0,0,0
65,0.0871128,0.00127973,0.0548507,0.0849478,0.465057,0.00223391,0.00535915,0.196299,0.221049,3.76204e-18,-2.19382e-19,0,0.349257,0.163037,0.082276,0,0,0
66,0.0883918,0.00127901,0.0556439,0.0865748,0.473805,0.00226447,0.00543245,0.197633,0.221049,-1.57019e-18,1.02015e-18,0,0.349257,0.161936,0.0813862,0,0,0
67,0.0896703,0.00127848,0.0564266,0.0882023,0.481764,0.00229814,0.0056306,0.209434,0.221049,9.53791e-18,-2.03277e-18,0,0.349257,0.160839,0.0805036,0,0,0
68,0.0909482,0.00127791,0.0571995,0.0898314,0.488413,0.00233979,0.00625839,0.382396,0.221049,2.44571e-17,-7.2506e-19,0,0.349257,0.159748,0.0796256,0,0,0
69,0.0922257,0.00127753,0.057968,0.0914638,0.493706,0.00240578,0.00893838,0.874032,0.221049,-1.54121e-17,1.69756e-18,0,0.349257,0.158662,0.0787538,0,0,0
70,0.093503,0.00127733,0.0587441,0.0931008,0.498118,0.00240627,0.00688723,0.489524,0.221049,-3.14249e-18,-1.46696e-18,0,0.349257,0.157581,0.0778891,0,0,0
71,0.0947797,0.00127668,0.0595214,0.0947439,0.501825,0.00241731,0.00609058,0.268926,0.221049,1.31002e-17,-2.85085e-18,0,0.349257,0.156505,0.077032,0,0,0
72,0.096056,0.00127623,0.0603004,0.0963958,0.506027,0.0024379,0.00590925,0.198883,0.221049,1.46976e-17,2.64115e-18,0,0.349257,0.155435,0.0761825,0,0,0
73,0.0973319,0.00127596,0.0610743,0.0980586,0.509688,0.00246128,0.00586542,0.197424,0.221049,9.28835e-18,-4.67335e-18,0,0.349257,0.154371,0.0753404,0,0,0
74,0.0986076,0.00127565,0.0618515,0.0997336,0.513132,0.00248682,0.00589019,0.19539,0.221049,2.72861e-18,1.94346e-18,0,0.349257,0.153312,0.0745059,0,0,0
75,0.0998831,0.00127552,0.0626305,0.101423,0.516085,0.00251542,0.00599472,0.192755,0.221049,1.08624e-17,-9.01031e-20,0,0.349257,0.152259,0.0736789,0,0,0
76,0.101159,0.00127557,0.0634158,0.103132,0.518433,0.00254965,0.00625068,0.241172,0.221049,-9.93019e-18,-4.12791e-18,0,0.349257,0.151212,0.0728593,0,0,0
77,0.102434,0.00127563,0.064207,0.104861,0.520275,0.00258974,0.00676722,0.359375,0.221049,-2.67429e-18,-4.04638e-18,0,0.349257,0.15017,0.0720472,0,0,0
78,0.10371,0.00127578,0.0650075,0.106614,0.536833,0.00262233,0.00698602,0.361133,0.221049,-5.69042e-18,-1.83033e-18,0,0.349257,0.149134,0.0712426,0,0,0
79,0.104986,0.00127574,0.0658202,0.108394,0.55465,0.00264347,0.006799,0.287138,0.221049,8.27292e-18,-1.3813e-18,0,0.349257,0.148104,0.0704456,0,0,0
80,0.106262,0.00127574,0.0666405,0.110203,0.573019,0.00266113,0.00658277,0.244692,0.221049,-2.77758e-17,-2.14098e-18,0,0.349257,0.147078,0.0696562,0,0,0
81,0.107537,0.00127581,0.0674705,0.112044,0.591968,0.00267814,0.00640301,0.191143,0.221049,2.87853e-17,-4.80596e-18,0,0.349257,0.146054,0.0688744,0,0,0
82,0.108813,0.00127605,0.0683145,0.113921,0.611514,0.00269767,0.00630707,0.152445,0.221049,7.22763e-18,-3.63292e-18,0,0.349257,0.145036,0.0681001,0,0,0
83,0.11009,0.00127646,0.0691775,0.115834,0.631755,0.00272118,0.00629801,0.152575,0.221049,-1.66021e-17,-8.12516e-19,0,0.349257,0.144024,0.0673332,0,0,0
84,0.111367,0.00127686,0.0700693,0.117788,0.652832,0.0027493,0.00636936,0.157333,0.221049,-2.02653e-18,2.61183e-18,0,0.349257,0.143017,0.0665737,0,0,0
85,0.112644,0.00127736,0.070981,0.119783,0.674724,0.0027821,0.00653831,0.181804,0.221049,-2.36264e-18,4.28673e-18,0,0.349257,0.142017,0.0658216,0,0,0
86,0.113922,0.00127802,0.0719061,0.121821,0.697406,0.00282026,0.00684148,0.220723,0.221049,1.85445e-17,-7.02137e-18,0,0.349257,0.141022,0.0650768,0,0,0
87,0.115201,0.00127848,0.072843,0.123903,0.720835,0.00286793,0.00749393,0.313483,0.221049,4.10657e-18,1.62493e-18,0,0.349257,0.140033,0.0643393,0,0,0
88,0.116479,0.00127887,0.0738006,0.126029,0.744982,0.00294486,0.00984333,0.672784,0.221049,6.68807e-18,1.63647e-18,0,0.349257,0.13905,0.0636093,0,0,0
89,0.117759,0.00127942,0.0747798,0.128199,0.769837,0.00294535,0.00875648,0.578548,0.221049,2.90622e-18,7.12672e-19,0,0.349257,0.138073,0.0628866,0,0,0
90,0.119039,0.0012801,0.0757819,0.130413,0.7954,0.00293554,0.00726763,0.294695,0.221049,-3.61896e-17,-3.8883e-18,0,0.349257,0.137101,0.062167,0,0,0
91,0.12032,0.00128092,0.076795,0.132671,0.82166,0.00295111,0.00697599,0.196472,0.221049,2.66762e-18,3.3642e-18,0,0.349257,0.136136,0.0614541,0,0,0
92,0.121602,0.00128176,0.077813,0.134972,0.848508,0.00297542,0.00693789,0.202995,0.221049,-8.04578e-18,5.1489e-19,0,0.349257,0.135176,0.0607484,0,0,0
93,0.122884,0.00128267,0.0788436,0.137312,0.875608,0.0030038,0.00698856,0.209762,0.221049,-1.66843e-17,3.26034e-18,0,0.349257,0.134223,0.0600498,0,0,0
94,0.124168,0.00128371,0.0798904,0.13969,0.903511,0.00303578,0.0071039,0.216772,0.221049,5.15144e-18,-1.10114e-18,0,0.349257,0.133275,0.0593584,0,0,0
95,0.125453,0.00128478,0.0809532,0.142102,0.93386,0.00307196,0.00730302,0.224028,0.221049,3.48835e-18,9.15748e-19,0,0.349257,0.132332,0.0586741,0,0,0
96,0.126738,0.00128562,0.0820189,0.144545,0.967386,0.00311368,0.00766829,0.292364,0.221049,9.06002e-18,4.93121e-18,0,0.349257,0.131396,0.0579969,0,0,0
97,0.128025,0.00128654,0.0830847,0.147014,1.00194,0.00315955,0.00819739,0.393613,0.221049,-5.9764e-18,2.27301e-18,0,0.349257,0.130466,0.0573269,0,0,0
98,0.129313,0.00128758,0.0841461,0.149504,1.03753,0.00320294,0.00869359,0.40498,0.221049,-3.02232e-18,-9.70499e-18,0,0.349257,0.129542,0.0566639,0,0,0
99,0.130601,0.00128873,0.0852101,0.152011,1.07414,0.00324519,0.00943701,0.556654,0.221049,8.40847e-18,-7.13604e-18,0,0.349257,0.128623,0.0560079,0,0,0
