step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
60,0.0816547,0.00135911,0.0127649,0.029095,0.128711,9.90246e-05,0.000225351,0.000991716,1,1,0.5,0,2.6266,0.990348,0.979132,0,0,0
61,0.0830138,0.00135904,0.0126989,0.0287985,0.126773,9.85221e-05,0.000223082,0.000977081,1,1,0.5,0,2.6266,0.990252,0.979054,0,0,0
62,0.0843728,0.00135898,0.012634,0.0285083,0.12491,9.80274e-05,0.00022086,0.000962778,1,1,0.5,0,2.6266,0.990162,0.978981,0,0,0
63,0.0857317,0.00135892,0.0125701,0.0282242,0.123088,9.75403e-05,0.000218685,0.000948795,1,1,0.5,0,2.6266,0.990078,0.978912,0,0,0
64,0.0870905,0.00135886,0.0125072,0.027946,0.121307,9.70605e-05,0.000216554,0.000935121,1,1,0.5,0,2.6266,0.989998,0.978848,0,0,0
65,0.0884493,0.0013588,0.0124452,0.0276736,0.119565,9.6588e-05,0.000214466,0.000921747,1,1,0.5,0,2.6266,0.989915,0.978789,0,0,0
66,0.0898081,0.00135874,0.0123842,0.0274066,0.117861,9.61224e-05,0.000212421,0.000908664,1,1,0.5,0,2.6266,0.989829,0.978734,0,0,0
67,0.0911667,0.00135868,0.0123241,0.027145,0.116193,9.56637e-05,0.000210416,0.000895862,1,1,0.5,0,2.6266,0.989749,0.978683,0,0,0
68,0.0925254,0.00135862,0.0122648,0.0268886,0.114561,9.52116e-05,0.00020845,0.000883332,1,1,0.5,0,2.6266,0.989674,0.978632,0,0,0
69,0.0938839,0.00135856,0.0122065,0.0266372,0.112964,9.47661e-05,0.000206523,0.000871066,1,1,0.5,0,2.6266,0.989606,0.978573,0,0,0
70,0.0952424,0.00135851,0.012149,0.0263907,0.1114,9.43271e-05,0.000204633,0.000859056,1,1,0.5,0,2.6266,0.989544,0.978514,0,0,0
71,0.0966009,0.00135846,0.0120923,0.0261489,0.109868,9.38942e-05,0.000202778,0.000847294,1,1,0.5,0,2.6266,0.989489,0.97846,0,0,0
72,0.0979593,0.0013584,0.0120364,0.0259117,0.108368,9.34675e-05,0.000200959,0.000835774,1,1,0.5,0,2.6266,0.989437,0.978409,0,0,0
73,0.0993176,0.00135835,0.0119813,0.0256789,0.106898,9.30468e-05,0.000199173,0.000824487,1,1,0.5,0,2.6266,0.989379,0.978363,0,0,0
74,0.100676,0.0013583,0.011927,0.0254505,0.105458,9.26319e-05,0.00019742,0.000813563,1,1,0.5,0,2.6266,0.989328,0.978319,0,0,0
75,0.102034,0.00135825,0.0118735,0.0252263,0.104046,9.22229e-05,0.000195699,0.000803106,1,1,0.5,0,2.6266,0.989283,0.97828,0,0,0
76,0.103392,0.00135821,0.0118207,0.0250062,0.102708,9.18195e-05,0.000194009,0.000792847,1,1,0.5,0,2.6266,0.989244,0.978243,0,0,0
77,0.104751,0.00135816,0.0117687,0.02479,0.101399,9.14215e-05,0.00019235,0.000782781,1,1,0.5,0,2.6266,0.989211,0.978211,0,0,0
78,0.106109,0.00135812,0.0117173,0.0245777,0.100115,9.10289e-05,0.000190719,0.000772901,1,1,0.5,0,2.6266,0.989185,0.978181,0,0,0
79,0.107467,0.00135807,0.0116667,0.0243691,0.0988538,9.06416e-05,0.000189117,0.000763204,1,1,0.5,0,2.6266,0.989162,0.978155,0,0,0
80,0.108825,0.00135803,0.0116167,0.0241642,0.0976161,9.02595e-05,0.000187543,0.000753685,1,1,0.5,0,2.6266,0.989131,0.978132,0,0,0
81,0.110183,0.00135799,0.0115674,0.0239629,0.0964008,8.98825e-05,0.000185996,0.000744338,1,1,0.5,0,2.6266,0.989096,0.978112,0,0,0
82,0.111541,0.00135795,0.0115188,0.023765,0.0952075,8.95105e-05,0.000184475,0.000735159,1,1,0.5,0,2.6266,0.989067,0.978095,0,0,0
83,0.112899,0.00135791,0.0114708,0.0235705,0.0940356,8.91432e-05,0.00018298,0.00072619,1,1,0.5,0,2.6266,0.989043,0.978081,0,0,0
84,0.114257,0.00135787,0.0114235,0.0233792,0.0928845,8.87807e-05,0.00018151,0.000717492,1,1,0.5,0,2.6266,0.989025,0.97807,0,0,0
85,0.115614,0.00135783,0.0113767,0.0231911,0.0917537,8.84228e-05,0.000180064,0.000708944,1,1,0.5,0,2.6266,0.989014,0.978061,0,0,0
86,0.116972,0.00135779,0.0113306,0.0230062,0.0906428,8.80694e-05,0.000178642,0.000700543,1,1,0.5,0,2.6266,0.989001,0.978048,0,0,0
87,0.11833,0.00135775,0.011285,0.0228243,0.0895681,8.77205e-05,0.000177242,0.000692285,1,1,0.5,0,2.6266,0.988983,0.978031,0,0,0
88,0.119688,0.00135771,0.01124,0.0226453,0.0885136,8.73759e-05,0.000175866,0.000684166,1,1,0.5,0,2.6266,0.98897,0.978016,0,0,0
89,0.121045,0.00135767,0.0111956,0.0224692,0.0874769,8.70357e-05,0.000174511,0.000676184,1,1,0.5,0,2.6266,0.988963,0.978004,0,0,0
90,0.122403,0.00135763,0.0111517,0.0222959,0.0864575,8.66996e-05,0.000173177,0.000668336,1,1,0.5,0,2.6266,0.988961,0.977994,0,0,0
