step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
46,0.0625982,0.0013037,0.0391768,0.0545428,0.281617,0.00159924,0.00387671,0.213665,0.221049,-4.5362e-05,-3.8827e-05,0,0.349256,0.184366,0.0999342,0,0,0
47,0.0639002,0.00130196,0.0400337,0.0560485,0.292163,0.00164001,0.00418018,0.271454,0.221049,-4.81177e-05,-4.10692e-05,0,0.349256,0.183217,0.0989427,0,0,0
48,0.0652005,0.00130033,0.0408871,0.0575735,0.302251,0.00167367,0.00413226,0.234706,0.221049,-5.09771e-05,-4.33873e-05,0,0.349256,0.182068,0.0979537,0,0,0
49,0.0664989,0.00129839,0.0417384,0.0591168,0.311872,0.00170577,0.00404727,0.175881,0.221049,-5.39413e-05,-4.57815e-05,0,0.349256,0.180919,0.0969677,0,0,0
50,0.0677955,0.00129658,0.0425917,0.0606763,0.321778,0.00174013,0.00406205,0.154727,0.221049,-5.7012e-05,-4.8253e-05,0,0.349256,0.17977,0.0959854,0,0,0
51,0.0690905,0.00129498,0.0434431,0.0622501,0.331985,0.00177697,0.00415869,0.158492,0.221049,-6.01912e-05,-5.08029e-05,0,0.349256,0.178622,0.0950068,0,0,0
52,0.0703838,0.00129335,0.0442902,0.0638374,0.341199,0.00181602,0.00438444,0.197385,0.221049,-6.34804e-05,-5.34321e-05,0,0.349256,0.177475,0.0940326,0,0,0
53,0.0716757,0.00129193,0.045134,0.0654366,0.351017,0.00186076,0.00503477,0.356788,0.221049,-6.68817e-05,-5.61419e-05,0,0.349256,0.17633,0.0930629,0,0,0
54,0.0729664,0.00129063,0.0459713,0.0670447,0.361349,0.00190745,0.00617028,0.568082,0.221049,-7.03968e-05,-5.89335e-05,0,0.349256,0.175187,0.092098,0,0,0
55,0.0742558,0.00128939,0.0468044,0.06866,0.37171,0.00192721,0.00515814,0.348754,0.221049,-7.40275e-05,-6.18081e-05,0,0.349256,0.174046,0.0911348,0,0,0
56,0.0755438,0.001288,0.0476332,0.0702819,0.383673,0.00195377,0.00478406,0.218592,0.221049,-7.77748e-05,-6.47663e-05,0,0.349256,0.172908,0.090176,0,0,0
57,0.0768303,0.00128653,0.0484561,0.0719092,0.395284,0.00198402,0.00472924,0.177298,0.221049,-8.16398e-05,-6.78089e-05,0,0.349256,0.171774,0.0892231,0,0,0
58,0.0781156,0.00128528,0.049275,0.0735398,0.406165,0.00201619,0.00479031,0.179943,0.221049,-8.56245e-05,-7.09376e-05,0,0.349256,0.170642,0.0882761,0,0,0
59,0.0793997,0.00128414,0.0500903,0.0751719,0.415737,0.00205073,0.00497148,0.190967,0.221049,-8.97306e-05,-7.41536e-05,0,0.349256,0.169514,0.0873353,0,0,0
60,0.0806828,0.00128305,0.0508977,0.0768051,0.424087,0.00209247,0.00557213,0.357181,0.221049,-9.39595e-05,-7.74582e-05,0,0.349255,0.168384,0.0864008,0,0,0
61,0.0819649,0.00128218,0.051704,0.0784397,0.431679,0.00220931,0.013835,1.65164,0.221049,-9.83132e-05,-8.08533e-05,0,0.349255,0.167257,0.0854728,0,0,0
62,0.0832463,0.00128133,0.052505,0.0800746,0.439887,0.00217754,0.00717597,0.654806,0.221049,-0.000102793,-8.43401e-05,0,0.349255,0.166134,0.0845514,0,0,0
63,0.0845268,0.00128049,0.0532986,0.0817092,0.44838,0.00218309,0.00556079,0.292272,0.221049,-0.0001074,-8.79201e-05,0,0.349255,0.165015,0.0836369,0,0,0
64,0.0858063,0.00127955,0.0540814,0.0833437,0.455769,0.00220533,0.00534426,0.19379,0.221049,-0.000112136,-9.15941e-05,0,0.349255,0.163901,0.0827295,0,0,0
65,0.0870849,0.00127858,0.0548701,0.0849783,0.462283,0.00223224,0.00532838,0.19534,0.221049,-0.000117,-9.53634e-05,0,0.349255,0.162792,0.0818293,0,0,0
66,0.0883627,0.00127782,0.0556664,0.0866134,0.470529,0.0022629,0.00540376,0.196614,0.221049,-0.000121996,-9.923e-05,0,0.349255,0.161687,0.0809365,0,0,0
67,0.0896399,0.00127721,0.0564499,0.0882499,0.478906,0.00229655,0.00560469,0.209705,0.221049,-0.000127124,-0.000103196,0,0.349255,0.160588,0.0800509,0,0,0
68,0.0909165,0.00127659,0.0572245,0.089889,0.486054,0.00233846,0.00625904,0.389536,0.221049,-0.000132385,-0.000107262,0,0.349255,0.159494,0.0791728,0,0,0
69,0.0921927,0.00127617,0.0579976,0.0915323,0.491735,0.0024052,0.00903893,0.894756,0.221049,-0.000137782,-0.000111431,0,0.349255,0.158405,0.0783021,0,0,0
70,0.0934686,0.00127589,0.0587791,0.0931812,0.496501,0.00240362,0.0067622,0.465085,0.221049,-0.000143316,-0.000115705,0,0.349255,0.157322,0.0774389,0,0,0
71,0.094744,0.00127541,0.059564,0.0948375,0.500533,0.00241554,0.00603178,0.257704,0.221049,-0.000148987,-0.000120085,0,0.349255,0.156244,0.0765833,0,0,0
72,0.0960189,0.00127492,0.0603462,0.0965036,0.504643,0.00243638,0.00586729,0.197578,0.221049,-0.000154795,-0.000124572,0,0.349255,0.155171,0.0757354,0,0,0
73,0.0972935,0.00127455,0.0611229,0.0981814,0.508774,0.00245994,0.00583123,0.19608,0.221049,-0.000160743,-0.000129167,0,0.349255,0.154105,0.0748952,0,0,0
74,0.0985676,0.00127419,0.0619056,0.0998723,0.512666,0.00248574,0.00586178,0.193996,0.221049,-0.000166831,-0.000133874,0,0.349255,0.153044,0.0740629,0,0,0
75,0.0998417,0.00127401,0.0626881,0.101579,0.515959,0.00251456,0.0059728,0.191303,0.221049,-0.000173061,-0.000138693,0,0.349254,0.151989,0.0732382,0,0,0
76,0.101116,0.00127402,0.0634779,0.103305,0.518632,0.00254901,0.00624188,0.248087,0.221049,-0.000179434,-0.000143628,0,0.349254,0.150939,0.0724211,0,0,0
77,0.10239,0.00127397,0.0642782,0.105054,0.521458,0.00258944,0.00676958,0.36825,0.221049,-0.000185952,-0.000148679,0,0.349254,0.149896,0.0716117,0,0,0
78,0.103664,0.0012741,0.065091,0.106827,0.538803,0.00262142,0.00692156,0.349746,0.221049,-0.000192617,-0.000153848,0,0.349254,0.148858,0.0708099,0,0,0
79,0.104938,0.00127424,0.0659087,0.108627,0.556682,0.00264226,0.00672105,0.273522,0.221049,-0.000199429,-0.000159138,0,0.349254,0.147826,0.0700158,0,0,0
80,0.106212,0.00127413,0.0667332,0.110458,0.575106,0.00266011,0.00651749,0.2303,0.221049,-0.000206388,-0.000164549,0,0.349254,0.146801,0.0692295,0,0,0
81,0.107486,0.00127416,0.0675708,0.112322,0.594187,0.00267769,0.00635664,0.180352,0.221049,-0.000213496,-0.000170082,0,0.349254,0.145781,0.0684508,0,0,0
82,0.108761,0.00127436,0.0684221,0.114222,0.614043,0.00269778,0.00627602,0.150203,0.221049,-0.000220754,-0.00017574,0,0.349254,0.144767,0.0676798,0,0,0
83,0.110035,0.00127468,0.0692929,0.116159,0.634659,0.00272175,0.00627781,0.152675,0.221049,-0.000228165,-0.000181525,0,0.349254,0.143759,0.0669164,0,0,0
84,0.11131,0.00127498,0.070193,0.118137,0.656025,0.00275034,0.00635887,0.15742,0.221049,-0.00023573,-0.000187437,0,0.349254,0.142757,0.0661605,0,0,0
85,0.112586,0.00127545,0.0711142,0.120157,0.678118,0.00278381,0.00653909,0.189262,0.221049,-0.000243449,-0.000193478,0,0.349254,0.141759,0.0654121,0,0,0
86,0.113862,0.00127607,0.07205,0.122221,0.700927,0.00282255,0.00685081,0.224919,0.221049,-0.000251327,-0.00019965,0,0.349254,0.140763,0.0646711,0,0,0
87,0.115138,0.00127666,0.072996,0.124329,0.724459,0.00287058,0.00752817,0.339047,0.221049,-0.000259362,-0.000205954,0,0.349254,0.139772,0.0639327,0,0,0
88,0.116415,0.00127701,0.0739642,0.126481,0.748715,0.00294177,0.00963382,0.692452,0.221049,-0.000267555,-0.00021239,0,0.349253,0.138788,0.0632017,0,0,0
89,0.117693,0.00127752,0.0749499,0.128678,0.773703,0.00294318,0.00844416,0.470346,0.221049,-0.000275907,-0.000218958,0,0.349253,0.13781,0.0624781,0,0,0
90,0.118971,0.00127818,0.0759601,0.130919,0.799233,0.00293696,0.00719507,0.258208,0.221049,-0.000284421,-0.000225659,0,0.349253,0.136837,0.0617618,0,0,0
91,0.12025,0.00127888,0.0769812,0.133204,0.825162,0.00295429,0.00694893,0.196168,0.221049,-0.000293096,-0.000232495,0,0.349253,0.135871,0.0610529,0,0,0
92,0.12153,0.00127962,0.0780073,0.135531,0.852161,0.00297927,0.00692719,0.202578,0.221049,-0.000301935,-0.000239464,0,0.349253,0.13491,0.0603513,0,0,0
93,0.12281,0.0012805,0.0790395,0.137897,0.879907,0.00300804,0.00698918,0.20924,0.221049,-0.000310938,-0.000246568,0,0.349253,0.133956,0.0596569,0,0,0
94,0.124092,0.00128151,0.0800995,0.140301,0.908187,0.00304086,0.00711691,0.216153,0.221049,-0.000320107,-0.000253807,0,0.349253,0.133007,0.0589697,0,0,0
95,0.125374,0.00128265,0.0811735,0.142739,0.937457,0.00307811,0.00733908,0.223309,0.221049,-0.000329442,-0.000261181,0,0.349253,0.132064,0.0582895,0,0,0
96,0.126658,0.00128351,0.0822519,0.145208,0.971004,0.00312245,0.00778555,0.331344,0.221049,-0.000338942,-0.000268686,0,0.349253,0.131127,0.0576165,0,0,0
97,0.127942,0.0012844,0.0833282,0.147701,1.00559,0.00316975,0.00838193,0.433646,0.221049,-0.000348606,-0.000276322,0,0.349252,0.130196,0.0569507,0,0,0
98,0.129228,0.00128542,0.0843971,0.150216,1.04094,0.0032137,0.00899608,0.531978,0.221049,-0.000358435,-0.000284088,0,0.349252,0.129271,0.0562919,0,0,0
99,0.130514,0.00128656,0.0854621,0.152746,1.07768,0.00324792,0.00924251,0.501762,0.221049,-0.000368429,-0.000291983,0,0.349252,0.128352,0.0556402,0,0,0
100,0.131802,0.00128781,0.0865308,0.155286,1.1152,0.00325616,0.00834343,0.296593,0.221049,-0.000378587,-0.000300004,0,0.349252,0.127438,0.0549954,0,0,0
101,0.133091,0.00128902,0.0876069,0.157828,1.15317,0.00327959,0.00819255,0.270411,0.221049,-0.000388909,-0.000308149,0,0.349252,0.126531,0.0543575,0,0,0
102,0.134381,0.00129034,0.0886822,0.160367,1.19143,0.00331115,0.00832414,0.27871,0.221049,-0.000399392,-0.000316416,0,0.349252,0.12563,0.0537227,0,0,0
103,0.135673,0.00129177,0.0897512,0.162894,1.22988,0.00334145,0.00840549,0.286927,0.221049,-0.000410037,-0.000324802,0,0.349252,0.124734,0.0530918,0,0,0
104,0.136966,0.0012933,0.0908021,0.165404,1.26842,0.00336911,0.00841002,0.294993,0.221049,-0.000420841,-0.000333304,0,0.349252,0.123844,0.0524677,0,0,0
105,0.138261,0.0012948,0.0918295,0.167887,1.30785,0.00339783,0.00845892,0.302903,0.221049,-0.000431801,-0.000341918,0,0.349251,0.12296,0.0518503,0,0,0
106,0.139557,0.00129612,0.0928271,0.170335,1.34731,0.00342771,0.00855969,0.310604,0.221049,-0.000442914,-0.000350638,0,0.349251,0.122082,0.0512397,0,0,0
107,0.140855,0.00129753,0.0938377,0.172739,1.38662,0.0034598,0.00868963,0.318032,0.221049,-0.000454177,-0.000359461,0,0.349251,0.12121,0.050636,0,0,0
108,0.142154,0.00129904,0.0948354,0.175091,1.42547,0.00349309,0.00883899,0.325117,0.221049,-0.000465587,-0.000368382,0,0.349251,0.12034,0.0500389,0,0,0
109,0.143455,0.00130064,0.0958035,0.177383,1.46322,0.00352612,0.00899763,0.331765,0.221049,-0.000477141,-0.000377395,0,0.349251,0.119472,0.0494485,0,0,0
110,0.144757,0.00130233,0.0967412,0.179608,1.50013,0.00355764,0.00913843,0.337861,0.221049,-0.000488835,-0.000386498,0,0.349251,0.118609,0.0488647,0,0,0
111,0.146061,0.0013041,0.0976445,0.181755,1.54313,0.00358765,0.00926102,0.343317,0.221049,-0.000500667,-0.000395683,0,0.349251,0.117752,0.0482875,0,0,0
112,0.147367,0.00130594,0.0985246,0.183817,1.58599,0.0036194,0.00943288,0.348058,0.221049,-0.000512632,-0.000404947,0,0.34925,0.116901,0.0477168,0,0,0
113,0.148675,0.00130786,0.0993617,0.185783,1.62708,0.00365997,0.00993283,0.39186,0.221049,-0.000524726,-0.000414283,0,0.34925,0.116056,0.0471526,0,0,0
114,0.149985,0.00130984,0.100199,0.187646,1.66643,0.00375036,0.0140243,1.28391,0.221049,-0.000536945,-0.000423685,0,0.34925,0.115217,0.0465906,0,0,0
115,0.151296,0.00131164,0.101008,0.189397,1.70403,0.00374847,0.0115786,0.734048,0.221049,-0.000549282,-0.000433145,0,0.34925,0.114384,0.0460321,0,0,0
116,0.15261,0.00131346,0.101781,0.191032,1.73971,0.00374939,0.0104995,0.48821,0.221049,-0.000561732,-0.000442657,0,0.34925,0.113557,0.0454801,0,0,0
117,0.153925,0.00131534,0.102524,0.192545,1.77694,0.00376054,0.0100486,0.359253,0.221049,-0.00057429,-0.000452215,0,0.349249,0.112736,0.0449347,0,0,0
118,0.155242,0.00131729,0.103239,0.193931,1.81201,0.00378335,0.0100492,0.35854,0.221049,-0.000586952,-0.000461813,0,0.349249,0.11192,0.0443958,0,0,0
119,0.156562,0.0013193,0.103922,0.195183,1.84454,0.00381081,0.0101745,0.356772,0.221049,-0.000599713,-0.000471444,0,0.349249,0.111111,0.0438633,0,0,0
120,0.157883,0.00132137,0.104566,0.196297,1.87443,0.00383882,0.0103434,0.353971,0.221049,-0.000612568,-0.000481101,0,0.349249,0.110308,0.0433373,0,0,0
121,0.159207,0.0013235,0.105177,0.197269,1.90146,0.00386421,0.0104843,0.35017,0.221049,-0.000625512,-0.00049078,0,0.349248,0.109512,0.0428176,0,0,0
122,0.160529,0.00132249,0.105769,0.198101,1.92544,0.00388429,0.0104516,0.345432,0.221049,-0.000638509,-0.000500449,0,0.349248,0.108721,0.0423056,0,0,0
123,0.161849,0.00131953,0.106334,0.198794,1.94625,0.00390358,0.0104101,0.339829,0.221049,-0.000651534,-0.000510089,0,0.349248,0.107932,0.0417956,0,0,0
