problem,method,nx,status,glm_ch_factor,glm_cr,glm_cd,glm_subcycles,glm_ch,glm_cp,final_L2_norm_fv,peak_L2_norm_fv,time_integrated_L2_norm_fv,final_Linf_norm_fv,min_pressure,energy_drift,total_wall_time_sec,diagnostic_file
orszag_tang,mixed_glm,64,finished,16.0,0.1,nan,8,35.3905,1.88124,0.00459265,0.00459265,0.00011481625000000001,0.0556401,0.108757,5.24505e-15,1.55712,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub8_cr0p1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.1,nan,4,35.3905,1.88124,0.00459286,0.00459286,0.0001148215,0.0556401,0.108757,5.24505e-15,1.90373,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub4_cr0p1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.5,nan,2,35.3905,4.20657,0.00365229,0.00365229,9.130725e-05,0.0426386,0.108652,5.56293e-15,1.50795,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub2_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.5,nan,1,35.3905,4.20657,0.00365229,0.00365229,9.130725e-05,0.0426386,0.108652,5.56293e-15,1.57008,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub1_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.5,nan,8,35.3905,4.20657,0.00365229,0.00365229,9.130725e-05,0.0426403,0.108652,5.56293e-15,1.67777,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub8_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.5,nan,4,35.3905,4.20657,0.00365229,0.00365229,9.130725e-05,0.0426386,0.108652,5.56293e-15,1.84689,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub4_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,256,finished,16.0,1.0,nan,2,35.4362,5.95283,0.000350305,0.000350305,8.757624999999999e-06,0.0153931,0.107988,5.72187e-15,104.439,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_fine_n256_mixed_glm_ch16_sub2_cr1_mixed_glm.csv
orszag_tang,mixed_glm,256,finished,16.0,1.0,nan,8,35.4362,5.95283,0.000350304,0.000350304,8.7576e-06,0.015393,0.107988,5.72187e-15,105.99,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_fine_n256_mixed_glm_ch16_sub8_cr1_mixed_glm.csv
orszag_tang,mixed_glm,256,finished,16.0,1.0,nan,1,35.4362,5.95283,0.000350305,0.000350305,8.757624999999999e-06,0.0153931,0.107988,5.72187e-15,119.531,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_fine_n256_mixed_glm_ch16_sub1_cr1_mixed_glm.csv
orszag_tang,mixed_glm,256,finished,16.0,1.0,nan,4,35.4362,5.95283,0.000350304,0.000350304,8.7576e-06,0.0153931,0.107988,5.72187e-15,119.951,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_fine_n256_mixed_glm_ch16_sub4_cr1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.18,nan,8,17.6953,1.7847,0.00506037,0.00506037,0.00012650925,0.0687289,0.108383,5.88081e-15,0.999572,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub8_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.18,nan,4,17.6953,1.7847,0.00506054,0.00506054,0.0001265135,0.0687305,0.108383,5.88081e-15,1.00129,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub4_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.18,nan,2,17.6953,1.7847,0.00506054,0.00506054,0.0001265135,0.0687305,0.108383,5.88081e-15,1.0014,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub2_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.18,nan,1,17.6953,1.7847,0.00506054,0.00506054,0.0001265135,0.0687305,0.108383,5.88081e-15,1.05737,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub1_cr0p18_mixed_glm.csv
orszag_tang,hyperbolic_glm,64,finished,8.0,nan,nan,1,17.6953,nan,0.0044687,0.0044687,0.00011171750000000001,0.0543903,0.108283,6.35763e-15,0.999357,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch8_sub1_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,8.0,nan,nan,2,17.6953,nan,0.0044687,0.0044687,0.00011171750000000001,0.0543903,0.108283,6.35763e-15,1.02871,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch8_sub2_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,8.0,nan,nan,4,17.6953,nan,0.0044687,0.0044687,0.00011171750000000001,0.0543903,0.108283,6.35763e-15,1.05135,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch8_sub4_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,8.0,nan,nan,8,17.6953,nan,0.00446884,0.00446884,0.00011172100000000001,0.0543915,0.108283,6.35763e-15,1.11935,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch8_sub8_unused_hyperbolic_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,1.0,nan,4,17.6953,4.20657,0.00453991,0.00453991,0.00011349775000000001,0.0572704,0.108304,6.51657e-15,1.00845,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub4_cr1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,1.0,nan,8,17.6953,4.20657,0.00454001,0.00454001,0.00011350025,0.0572709,0.108304,6.51657e-15,1.01454,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub8_cr1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,1.0,nan,2,17.6953,4.20657,0.00453991,0.00453991,0.00011349775000000001,0.0572704,0.108304,6.51657e-15,1.06096,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub2_cr1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,1.0,nan,1,17.6953,4.20657,0.00453991,0.00453991,0.00011349775000000001,0.0572704,0.108304,6.51657e-15,1.06156,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub1_cr1_mixed_glm.csv
orszag_tang,mixed_glm,128,finished,16.0,0.18,nan,1,35.4271,2.52525,0.00129883,0.00129883,3.247075e-05,0.0274108,0.108334,-6.51657e-15,12.0102,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n128_mixed_glm_ch16_sub1_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,128,finished,16.0,0.18,nan,4,35.4271,2.52525,0.00129883,0.00129883,3.247075e-05,0.0274108,0.108334,-6.51657e-15,12.1906,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n128_mixed_glm_ch16_sub4_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,128,finished,16.0,0.18,nan,8,35.4271,2.52525,0.00129883,0.00129883,3.247075e-05,0.0274108,0.108334,-6.51657e-15,12.2117,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n128_mixed_glm_ch16_sub8_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,128,finished,16.0,0.18,nan,2,35.4271,2.52525,0.00129883,0.00129883,3.247075e-05,0.0274108,0.108334,-6.51657e-15,13.3262,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n128_mixed_glm_ch16_sub2_cr0p18_mixed_glm.csv
