problem,method,nx,ny,reconstruction,limiter,damping_mode,glm_ch_factor,glm_cd,glm_cr,glm_subcycles,glm_ch,glm_cp,glm_effective_cd,glm_effective_cr,status,final_time_reached,final_L2_norm_fv,peak_L2_norm_fv,time_integrated_L2_norm_fv,final_Linf_norm_fv,peak_Linf_norm_fv,min_pressure,min_density,has_nonfinite,has_negative_density,has_negative_pressure,energy_drift,total_wall_time_sec,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,failure_reason,summary_file,diagnostic_file
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,4.0,nan,0.1,1,9.16682,0.957435,0.98609,0.1,finished,1,2.93936e-05,0.000535426,1.412049e-05,8.04032e-05,0.00372446,0.989156,0.991929,0.0,0.0,0.0,-4.15611e-06,3.57523,0.0966278,169558.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p1_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p1_gi_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,4.0,nan,0.18,1,9.16682,1.28453,0.992258,0.18,finished,1,8.10855e-05,0.000535426,1.5412787500000002e-05,0.000228099,0.00372446,0.989059,0.992,0.0,0.0,0.0,-4.00445e-06,3.4071,0.0920838,177925.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p18_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p18_gi_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,4.0,nan,0.3,1,9.16682,1.65833,0.99535,0.3,finished,1,0.00013733,0.000535426,1.68189e-05,0.000385926,0.00372446,0.98901,0.99204,0.0,0.0,0.0,-3.66333e-06,3.3633,0.0909,180242.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p3_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p3_gi_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,4.0,nan,0.5,1,9.16682,2.14089,0.997208,0.5,finished,1,0.000187016,0.000535426,1.8061050000000002e-05,0.00052599,0.00372446,0.98898,0.992065,0.0,0.0,0.0,-3.23123e-06,3.31417,0.0895721,182914.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p5_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p5_gi_mixed_eglm.csv
divergence_advection,mixed_glm,256,256,plm,mc,cr,2.0,nan,0.1,1,4.58341,0.677009,0.994321,0.1,finished,1,6.3156e-05,0.00026775,8.27265e-06,0.000190075,0.00184213,0.992231,0.989416,0.0,0.0,0.0,4.19304e-14,15.4105,0.20825,314698.0,295,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_glm_ch2_sub1_cr0p1_mixed_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_glm_ch2_sub1_cr0p1_mixed_glm.csv
divergence_advection,mixed_glm,256,256,plm,mc,cr,2.0,nan,0.18,1,4.58341,0.908303,0.996663,0.18,finished,1,9.4069e-05,0.00026775,9.045475e-06,0.000310295,0.00184213,0.991185,0.988587,0.0,0.0,0.0,4.81861e-14,15.9012,0.214882,304987.0,295,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_glm_ch2_sub1_cr0p18_mixed_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_glm_ch2_sub1_cr0p18_mixed_glm.csv
divergence_advection,mixed_glm,256,256,plm,mc,cr,2.0,nan,0.3,1,4.58341,1.17261,0.997929,0.3,finished,1,0.000119134,0.00026775,9.6721e-06,0.000423226,0.00184213,0.990402,0.988106,0.0,0.0,0.0,4.39593e-14,17.0652,0.230611,284185.0,295,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_glm_ch2_sub1_cr0p3_mixed_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_glm_ch2_sub1_cr0p3_mixed_glm.csv
divergence_advection,mixed_glm,256,256,plm,mc,cr,2.0,nan,0.5,1,4.58341,1.51384,0.998729,0.5,finished,1,0.000138118,0.00026775,1.01467e-05,0.00050547,0.00184213,0.989812,0.987794,0.0,0.0,0.0,5.54563e-14,16.7441,0.226272,289634.0,295,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_glm_ch2_sub1_cr0p5_mixed_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_glm_ch2_sub1_cr0p5_mixed_glm.csv
divergence_advection,mixed_glm,256,256,plm,mc,cr,4.0,nan,0.1,1,9.16683,0.957436,0.99257,0.1,finished,1,1.67563e-05,0.00026775,7.112657499999999e-06,4.84081e-05,0.00184213,0.995035,0.987447,0.0,0.0,0.0,4.90315e-14,21.5185,0.290791,225371.0,589,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_glm_ch4_sub1_cr0p1_mixed_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_glm_ch4_sub1_cr0p1_mixed_glm.csv
divergence_advection,mixed_glm,256,256,plm,mc,cr,4.0,nan,0.18,1,9.16683,1.28453,0.995687,0.18,finished,1,4.81521e-05,0.00026775,7.8975525e-06,0.000144595,0.00184213,0.995764,0.986882,0.0,0.0,0.0,5.61326e-14,21.6249,0.292228,224263.0,589,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_glm_ch4_sub1_cr0p18_mixed_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_glm_ch4_sub1_cr0p18_mixed_glm.csv
