problem,method,reconstruction,limiter,nx,ny,ncell,tfinal,threads,repeat,solver_time_sec,total_wall_time_sec,hydro_time_sec,cleaning_time_sec,iteration_count,time_per_iteration_sec,final_residual_L2_fv,final_residual_Linf_fv,energy_drift,status,summary_file
divergence_advection,none,plm,mc,256,256,65536,0.02,16,3,1.9693617289999998,2.97439,1.96931,5.1729e-05,30,0.06564539096666666,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t16_r3_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,32,1,5.20325753,6.52124,5.20319,6.753e-05,30,0.17344191766666667,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t32_r1_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,32,2,5.390045544,6.71892,5.38997,7.5544e-05,30,0.17966818480000002,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t32_r2_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,32,3,5.5092556450000005,6.87279,5.50919,6.5645e-05,30,0.18364185483333334,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t32_r3_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,1,1,73.163850826,82.0419,73.1637,0.000150826,59,1.2400652682372881,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t1_r1_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,1,2,74.277037529,83.4402,74.2769,0.000137529,59,1.2589328394745762,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t1_r2_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,1,3,75.92294762899999,85.3558,75.9228,0.000147629,59,1.2868296208305083,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t1_r3_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,2,1,44.965841996,53.5552,44.9657,0.000141996,59,0.7621329151864407,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t2_r1_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,2,2,45.808679894,57.753,45.8085,0.000179894,59,0.7764183032881357,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t2_r2_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,2,3,43.982159896,52.3521,43.982,0.000159896,59,0.745460337220339,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t2_r3_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,4,1,34.124261862,43.6211,34.1241,0.000161862,59,0.5783773196949152,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t4_r1_none_summary.csv
